"grid","sp","mean","sd","ncams","t","d"
"92",4,"TATO",21.71875,23.1835113477812,64,0,4
"93",5,"TATO",60.1746031746032,35.0076211437801,63,0,4
"94",6,"TATO",19.515625,24.8659850458732,64,0,4
"95",7,"TATO",102.703125,41.6053566787389,64,0,4
"96",8,"TATO",63.241935483871,32.3898817857387,62,0,4
"97",1,"PEMA",23.5833333333333,25.6632314659585,24,0,5
"98",2,"PEMA",78.76,80.0574168956256,25,0,5
"99",3,"PEMA",91.5416666666667,63.9829998934273,24,0,5
"100",4,"PEMA",51.4,40.4165807559224,25,0,5
"101",5,"PEMA",124.75,95.0149873761343,24,0,5
"102",6,"PEMA",41.64,34.0769716964404,25,0,5
"103",7,"PEMA",87.12,60.9346097605184,25,0,5
"104",8,"PEMA",156.56,72.1058712357508,25,0,5
"105",1,"GLOR",15.84375,21.6033644866455,64,0,5
"106",2,"GLOR",7.64516129032258,14.0316933698687,62,0,5
"107",3,"GLOR",17.3968253968254,21.5680017488122,63,0,5
"108",4,"GLOR",8.75,10.8100482356529,64,0,5
"109",5,"GLOR",8.03174603174603,13.8144013844929,63,0,5
"110",6,"GLOR",4.1875,9.36029269654958,64,0,5
"111",7,"GLOR",3.96875,8.35894872633657,64,0,5
"112",8,"GLOR",7.46774193548387,14.5970104079686,62,0,5
"113",1,"TATO",29.578125,25.4762913048739,64,0,5
"114",2,"TATO",41.2903225806452,22.1547368259851,62,0,5
"115",3,"TATO",38.1428571428571,23.698276201675,63,0,5
"116",4,"TATO",23.171875,23.2676317766133,64,0,5
"117",5,"TATO",63.4920634920635,35.9142675466904,63,0,5
"118",6,"TATO",19.765625,24.9244841614483,64,0,5
"119",7,"TATO",105.78125,42.5069438771806,64,0,5
"120",8,"TATO",65.2096774193548,32.5471345956298,62,0,5
"121",1,"PEMA",24.0416666666667,26.0375634448565,24,0,6
"122",2,"PEMA",80.16,81.1647912172103,25,0,6
"123",3,"PEMA",98.2916666666667,66.8674738417043,24,0,6
"124",4,"PEMA",63.36,49.8153925341689,25,0,6
"125",5,"PEMA",130.208333333333,97.3474186999133,24,0,6
"126",6,"PEMA",45.6,37.032643257897,25,0,6
"127",7,"PEMA",89.68,62.3563148365905,25,0,6
"128",8,"PEMA",164.24,74.6342638024475,25,0,6
"129",1,"GLOR",15.921875,21.6159146893474,64,0,6
"130",2,"GLOR",7.75806451612903,14.1174063979757,62,0,6
"131",3,"GLOR",17.6984126984127,21.6888814392305,63,0,6
"132",4,"GLOR",9.046875,10.8209521740178,64,0,6
"133",5,"GLOR",8.26984126984127,13.8065042516858,63,0,6
"134",6,"GLOR",4.390625,9.53126382382552,64,0,6
"135",7,"GLOR",3.984375,8.35424459647776,64,0,6
"136",8,"GLOR",7.85483870967742,14.9016962112895,62,0,6
"137",1,"TATO",29.84375,25.6510272389372,64,0,6
"138",2,"TATO",41.8064516129032,22.2819773599964,62,0,6
