"sp","param","est","model.x","t","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model.y","g"
"151","TATO","psi[4]",0.281,"CAM-SC_noinfo_multigrid_t15",15,0.274,0.04,0.201,0.274,0.356,1.01,260,"CAM-SC_noinfo_multigrid",4
"152","TATO","psi[5]",0.923,"CAM-SC_noinfo_multigrid_t15",15,0.876,0.068,0.739,0.884,0.982,1.07,51,"CAM-SC_noinfo_multigrid",5
"153","TATO","psi[6]",0.236,"CAM-SC_noinfo_multigrid_t15",15,0.248,0.039,0.178,0.246,0.331,1.01,260,"CAM-SC_noinfo_multigrid",6
"154","TATO","psi[7]",0.997,"CAM-SC_noinfo_multigrid_t15",15,0.966,0.029,0.886,0.973,0.999,1.04,80,"CAM-SC_noinfo_multigrid",7
"155","TATO","psi[8]",0.8,"CAM-SC_noinfo_multigrid_t15",15,0.755,0.071,0.619,0.756,0.897,1.1,81,"CAM-SC_noinfo_multigrid",8
"156","TATO","sigma",23.765,"CAM-SC_noinfo_multigrid_t15",15,24.044,1.096,22.006,23.962,26.521,1.22,64,"CAM-SC_noinfo_multigrid",NA
"157","TATO","D[1]",7.776,"CAM-SC_noinfo_multigrid_t60",60,7.124,1.288,4.543,7.219,9.39,1.04,134,"CAM-SC_noinfo_multigrid",1
"158","TATO","D[2]",12.89,"CAM-SC_noinfo_multigrid_t60",60,12.736,2.34,8.22,12.918,17.014,1,31,"CAM-SC_noinfo_multigrid",2
"159","TATO","D[3]",9.553,"CAM-SC_noinfo_multigrid_t60",60,9.171,1.716,5.571,9.34,12.144,1.03,76,"CAM-SC_noinfo_multigrid",3
"160","TATO","D[4]",6.023,"CAM-SC_noinfo_multigrid_t60",60,5.993,1.126,3.787,6.008,8.098,1.03,128,"CAM-SC_noinfo_multigrid",4
"161","TATO","D[5]",17.989,"CAM-SC_noinfo_multigrid_t60",60,15.829,2.104,11.32,16.491,18.097,1.09,34,"CAM-SC_noinfo_multigrid",5
"162","TATO","D[6]",5.812,"CAM-SC_noinfo_multigrid_t60",60,5.699,1.086,3.477,5.753,7.642,1.02,151,"CAM-SC_noinfo_multigrid",6
"163","TATO","D[7]",18.183,"CAM-SC_noinfo_multigrid_t60",60,14.532,2.186,9.895,14.929,18.134,1.17,41,"CAM-SC_noinfo_multigrid",7
"164","TATO","D[8]",17.062,"CAM-SC_noinfo_multigrid_t60",60,14.289,2.407,9.654,14.593,17.915,1.04,27,"CAM-SC_noinfo_multigrid",8
"165","TATO","lam0",0.15,"CAM-SC_noinfo_multigrid_t60",60,0.175,0.036,0.109,0.174,0.255,1.22,22,"CAM-SC_noinfo_multigrid",NA
"166","TATO","N[1]",854.187,"CAM-SC_noinfo_multigrid_t60",60,782.538,141.445,499,793,1031.525,1.04,134,"CAM-SC_noinfo_multigrid",1
"167","TATO","N[2]",1415.975,"CAM-SC_noinfo_multigrid_t60",60,1399.051,257.035,903,1419,1869,1,31,"CAM-SC_noinfo_multigrid",2
"168","TATO","N[3]",1049.4,"CAM-SC_noinfo_multigrid_t60",60,1007.467,188.451,612,1026,1334,1.03,76,"CAM-SC_noinfo_multigrid",3
"169","TATO","N[4]",661.678,"CAM-SC_noinfo_multigrid_t60",60,658.368,123.712,416,660,889.525,1.03,128,"CAM-SC_noinfo_multigrid",4
"170","TATO","N[5]",1976.123,"CAM-SC_noinfo_multigrid_t60",60,1738.793,231.096,1243.475,1811.5,1988,1.09,34,"CAM-SC_noinfo_multigrid",5
"171","TATO","N[6]",638.472,"CAM-SC_noinfo_multigrid_t60",60,626.004,119.271,382,632,839.525,1.02,151,"CAM-SC_noinfo_multigrid",6
"172","TATO","N[7]",1997.427,"CAM-SC_noinfo_multigrid_t60",60,1596.389,240.084,1087,1640,1992,1.17,41,"CAM-SC_noinfo_multigrid",7
"173","TATO","N[8]",1874.21,"CAM-SC_noinfo_multigrid_t60",60,1569.601,264.411,1060.475,1603,1968,1.04,27,"CAM-SC_noinfo_multigrid",8
"174","TATO","psi[1]",0.417,"CAM-SC_noinfo_multigrid_t60",60,0.391,0.071,0.248,0.396,0.519,1.04,132,"CAM-SC_noinfo_multigrid",1
"175","TATO","psi[2]",0.704,"CAM-SC_noinfo_multigrid_t60",60,0.7,0.129,0.449,0.709,0.935,1,33,"CAM-SC_noinfo_multigrid",2
"176","TATO","psi[3]",0.543,"CAM-SC_noinfo_multigrid_t60",60,0.504,0.095,0.305,0.513,0.668,1.03,81,"CAM-SC_noinfo_multigrid",3
"177","TATO","psi[4]",0.324,"CAM-SC_noinfo_multigrid_t60",60,0.33,0.062,0.208,0.33,0.447,1.03,120,"CAM-SC_noinfo_multigrid",4
"178","TATO","psi[5]",0.988,"CAM-SC_noinfo_multigrid_t60",60,0.869,0.116,0.619,0.904,0.994,1.1,33,"CAM-SC_noinfo_multigrid",5
"179","TATO","psi[6]",0.313,"CAM-SC_noinfo_multigrid_t60",60,0.313,0.06,0.191,0.316,0.421,1.03,159,"CAM-SC_noinfo_multigrid",6
"180","TATO","psi[7]",0.999,"CAM-SC_noinfo_multigrid_t60",60,0.798,0.12,0.541,0.819,0.996,1.17,39,"CAM-SC_noinfo_multigrid",7
"181","TATO","psi[8]",0.941,"CAM-SC_noinfo_multigrid_t60",60,0.785,0.132,0.531,0.801,0.984,1.04,28,"CAM-SC_noinfo_multigrid",8
"182","TATO","sigma",31.692,"CAM-SC_noinfo_multigrid_t60",60,35.995,6.042,27.62,34.088,49.413,1.31,18,"CAM-SC_noinfo_multigrid",NA
"183","TATO","D[1]",8.578,"CAM-SC_noinfo_multigrid_t1440",1440,6.818,3.02,1.029,7.92,10.833,3.27,91,"CAM-SC_noinfo_multigrid",1
"184","TATO","D[2]",12.146,"CAM-SC_noinfo_multigrid_t1440",1440,9.434,4.075,1.493,11.188,14.438,3.34,64,"CAM-SC_noinfo_multigrid",2
"185","TATO","D[3]",11.085,"CAM-SC_noinfo_multigrid_t1440",1440,8.528,3.727,1.311,9.986,13.528,3.47,70,"CAM-SC_noinfo_multigrid",3
"186","TATO","D[4]",8.096,"CAM-SC_noinfo_multigrid_t1440",1440,6.064,2.698,0.983,7.019,9.822,2.82,89,"CAM-SC_noinfo_multigrid",4
"187","TATO","D[5]",17.668,"CAM-SC_noinfo_multigrid_t1440",1440,12.747,5.394,1.985,15.294,18.097,3.78,26,"CAM-SC_noinfo_multigrid",5
"188","TATO","D[6]",8.122,"CAM-SC_noinfo_multigrid_t1440",1440,6.2,2.742,1.029,7.064,10.059,3.24,86,"CAM-SC_noinfo_multigrid",6
"189","TATO","D[7]",13.938,"CAM-SC_noinfo_multigrid_t1440",1440,10.398,4.583,1.566,12.144,16.24,3.54,39,"CAM-SC_noinfo_multigrid",7
"190","TATO","D[8]",14.731,"CAM-SC_noinfo_multigrid_t1440",1440,11.234,4.875,1.775,13.3,17.424,3.73,38,"CAM-SC_noinfo_multigrid",8
"191","TATO","lam0",0.013,"CAM-SC_noinfo_multigrid_t1440",1440,0.016,0.01,0.006,0.014,0.049,2.1,23,"CAM-SC_noinfo_multigrid",NA
"192","TATO","N[1]",942.281,"CAM-SC_noinfo_multigrid_t1440",1440,748.938,331.765,113,870,1190,3.27,91,"CAM-SC_noinfo_multigrid",1
"193","TATO","N[2]",1334.253,"CAM-SC_noinfo_multigrid_t1440",1440,1036.334,447.682,164,1229,1586,3.34,64,"CAM-SC_noinfo_multigrid",2
"194","TATO","N[3]",1217.701,"CAM-SC_noinfo_multigrid_t1440",1440,936.851,409.409,144,1097,1486,3.47,70,"CAM-SC_noinfo_multigrid",3
"195","TATO","N[4]",889.393,"CAM-SC_noinfo_multigrid_t1440",1440,666.177,296.36,108,771,1079,2.82,89,"CAM-SC_noinfo_multigrid",4
"196","TATO","N[5]",1940.843,"CAM-SC_noinfo_multigrid_t1440",1440,1400.233,592.567,218,1680,1988,3.78,26,"CAM-SC_noinfo_multigrid",5
"197","TATO","N[6]",892.243,"CAM-SC_noinfo_multigrid_t1440",1440,681.074,301.195,113,776,1105,3.24,86,"CAM-SC_noinfo_multigrid",6
"198","TATO","N[7]",1531.144,"CAM-SC_noinfo_multigrid_t1440",1440,1142.266,503.455,172,1334,1784,3.54,39,"CAM-SC_noinfo_multigrid",7
"199","TATO","N[8]",1618.198,"CAM-SC_noinfo_multigrid_t1440",1440,1234.07,535.544,195,1461,1914,3.73,38,"CAM-SC_noinfo_multigrid",8
"200","TATO","psi[1]",0.481,"CAM-SC_noinfo_multigrid_t1440",1440,0.375,0.166,0.057,0.435,0.596,3.24,90,"CAM-SC_noinfo_multigrid",1
"201","TATO","psi[2]",0.66,"CAM-SC_noinfo_multigrid_t1440",1440,0.518,0.224,0.081,0.614,0.795,3.32,60,"CAM-SC_noinfo_multigrid",2
"202","TATO","psi[3]",0.568,"CAM-SC_noinfo_multigrid_t1440",1440,0.468,0.205,0.072,0.548,0.743,3.45,72,"CAM-SC_noinfo_multigrid",3
"203","TATO","psi[4]",0.442,"CAM-SC_noinfo_multigrid_t1440",1440,0.333,0.149,0.055,0.385,0.542,2.78,92,"CAM-SC_noinfo_multigrid",4
"204","TATO","psi[5]",0.968,"CAM-SC_noinfo_multigrid_t1440",1440,0.7,0.296,0.108,0.84,0.995,3.78,28,"CAM-SC_noinfo_multigrid",5
"205","TATO","psi[6]",0.434,"CAM-SC_noinfo_multigrid_t1440",1440,0.341,0.151,0.057,0.387,0.554,3.21,89,"CAM-SC_noinfo_multigrid",6
"206","TATO","psi[7]",0.768,"CAM-SC_noinfo_multigrid_t1440",1440,0.571,0.252,0.084,0.667,0.894,3.53,39,"CAM-SC_noinfo_multigrid",7
"207","TATO","psi[8]",0.798,"CAM-SC_noinfo_multigrid_t1440",1440,0.617,0.268,0.098,0.73,0.957,3.72,37,"CAM-SC_noinfo_multigrid",8
"208","TATO","sigma",88.293,"CAM-SC_noinfo_multigrid_t1440",1440,108.457,40.207,61.787,90.537,190.552,5.21,24,"CAM-SC_noinfo_multigrid",NA
"209","GLSA","D[1]",12.652,"CAM-SC_noinfo_multigrid_t0",0,12.037,3.013,6.946,12.107,17.861,2.9,25,"CAM-SC_noinfo_multigrid",1
"210","GLSA","D[2]",10.005,"CAM-SC_noinfo_multigrid_t0",0,9.441,2.748,5.18,9.258,16.045,2.02,31,"CAM-SC_noinfo_multigrid",2
"211","GLSA","D[3]",13.746,"CAM-SC_noinfo_multigrid_t0",0,12.807,2.722,8.066,13.045,17.515,2.21,25,"CAM-SC_noinfo_multigrid",3
"212","GLSA","D[4]",9.662,"CAM-SC_noinfo_multigrid_t0",0,9.624,2.775,5.293,9.349,16.486,2.47,42,"CAM-SC_noinfo_multigrid",4
"213","GLSA","D[5]",8.002,"CAM-SC_noinfo_multigrid_t0",0,9.096,2.501,5.016,8.785,14.219,2.31,45,"CAM-SC_noinfo_multigrid",5
"214","GLSA","D[6]",6.456,"CAM-SC_noinfo_multigrid_t0",0,7.317,2.139,3.869,6.982,11.734,2.14,53,"CAM-SC_noinfo_multigrid",6
"215","GLSA","D[7]",6.692,"CAM-SC_noinfo_multigrid_t0",0,6.481,1.942,3.259,6.4,10.501,1.53,55,"CAM-SC_noinfo_multigrid",7
"216","GLSA","D[8]",7.854,"CAM-SC_noinfo_multigrid_t0",0,8.232,2.221,4.524,8.075,12.677,1.97,51,"CAM-SC_noinfo_multigrid",8
"217","GLSA","lam0",3.199,"CAM-SC_noinfo_multigrid_t0",0,3.252,0.243,2.79,3.25,3.781,1.09,138,"CAM-SC_noinfo_multigrid",NA
"218","GLSA","N[1]",1389.843,"CAM-SC_noinfo_multigrid_t0",0,1322.247,330.974,763,1330,1962,2.9,25,"CAM-SC_noinfo_multigrid",1
"219","GLSA","N[2]",1099.022,"CAM-SC_noinfo_multigrid_t0",0,1037.079,301.827,569,1017,1762.525,2.02,31,"CAM-SC_noinfo_multigrid",2
"220","GLSA","N[3]",1510.007,"CAM-SC_noinfo_multigrid_t0",0,1406.863,298.999,886,1433,1924,2.21,25,"CAM-SC_noinfo_multigrid",3
"221","GLSA","N[4]",1061.4,"CAM-SC_noinfo_multigrid_t0",0,1057.197,304.826,581.475,1027,1811,2.47,42,"CAM-SC_noinfo_multigrid",4
"222","GLSA","N[5]",878.972,"CAM-SC_noinfo_multigrid_t0",0,999.146,274.712,551,965,1562,2.31,45,"CAM-SC_noinfo_multigrid",5
"223","GLSA","N[6]",709.204,"CAM-SC_noinfo_multigrid_t0",0,803.736,234.954,425,767,1289,2.14,53,"CAM-SC_noinfo_multigrid",6
"224","GLSA","N[7]",735.164,"CAM-SC_noinfo_multigrid_t0",0,711.905,213.309,358,703,1153.525,1.53,55,"CAM-SC_noinfo_multigrid",7
"225","GLSA","N[8]",862.709,"CAM-SC_noinfo_multigrid_t0",0,904.244,243.936,497,887,1392.525,1.97,51,"CAM-SC_noinfo_multigrid",8
"226","GLSA","psi[1]",0.696,"CAM-SC_noinfo_multigrid_t0",0,0.661,0.166,0.379,0.665,0.979,2.89,27,"CAM-SC_noinfo_multigrid",1
"227","GLSA","psi[2]",0.477,"CAM-SC_noinfo_multigrid_t0",0,0.518,0.151,0.284,0.509,0.882,2.02,36,"CAM-SC_noinfo_multigrid",2
"228","GLSA","psi[3]",0.868,"CAM-SC_noinfo_multigrid_t0",0,0.703,0.149,0.442,0.716,0.961,2.2,26,"CAM-SC_noinfo_multigrid",3
"229","GLSA","psi[4]",0.484,"CAM-SC_noinfo_multigrid_t0",0,0.529,0.153,0.289,0.514,0.907,2.46,42,"CAM-SC_noinfo_multigrid",4
"230","GLSA","psi[5]",0.442,"CAM-SC_noinfo_multigrid_t0",0,0.5,0.138,0.274,0.483,0.781,2.3,47,"CAM-SC_noinfo_multigrid",5
"231","GLSA","psi[6]",0.348,"CAM-SC_noinfo_multigrid_t0",0,0.402,0.118,0.213,0.384,0.644,2.13,57,"CAM-SC_noinfo_multigrid",6
"232","GLSA","psi[7]",0.376,"CAM-SC_noinfo_multigrid_t0",0,0.356,0.107,0.178,0.351,0.577,1.51,56,"CAM-SC_noinfo_multigrid",7
"233","GLSA","psi[8]",0.435,"CAM-SC_noinfo_multigrid_t0",0,0.452,0.122,0.247,0.442,0.697,1.96,51,"CAM-SC_noinfo_multigrid",8
"234","GLSA","sigma",10.292,"CAM-SC_noinfo_multigrid_t0",0,10.514,1.263,8.379,10.338,12.935,2.94,13,"CAM-SC_noinfo_multigrid",NA
"235","GLSA","D[1]",16.089,"CAM-SC_noinfo_multigrid_t15",15,14.116,3.014,6.773,15.002,17.979,1.6,29,"CAM-SC_noinfo_multigrid",1
"236","GLSA","D[2]",13.148,"CAM-SC_noinfo_multigrid_t15",15,12.655,2.838,6.655,13.091,17.597,1.83,35,"CAM-SC_noinfo_multigrid",2
"237","GLSA","D[3]",18.05,"CAM-SC_noinfo_multigrid_t15",15,15.025,2.921,7.783,15.867,18.088,1.27,34,"CAM-SC_noinfo_multigrid",3
"238","GLSA","D[4]",15.743,"CAM-SC_noinfo_multigrid_t15",15,13.828,2.898,7.205,14.656,17.824,1.08,27,"CAM-SC_noinfo_multigrid",4
"239","GLSA","D[5]",12.824,"CAM-SC_noinfo_multigrid_t15",15,12.577,2.65,6.272,13.081,16.541,1.09,45,"CAM-SC_noinfo_multigrid",5
"240","GLSA","D[6]",8.85,"CAM-SC_noinfo_multigrid_t15",15,9.464,2.532,4.47,9.522,14.424,1.28,43,"CAM-SC_noinfo_multigrid",6
"241","GLSA","D[7]",9.865,"CAM-SC_noinfo_multigrid_t15",15,8.779,2.138,4.342,8.999,12.781,1.28,57,"CAM-SC_noinfo_multigrid",7
"242","GLSA","D[8]",13.207,"CAM-SC_noinfo_multigrid_t15",15,12.216,2.633,6.172,12.708,16.277,1.12,39,"CAM-SC_noinfo_multigrid",8
"243","GLSA","lam0",0.338,"CAM-SC_noinfo_multigrid_t15",15,0.354,0.045,0.284,0.348,0.463,1.03,144,"CAM-SC_noinfo_multigrid",NA
"244","GLSA","N[1]",1767.355,"CAM-SC_noinfo_multigrid_t15",15,1550.697,331.047,744,1648,1975,1.6,29,"CAM-SC_noinfo_multigrid",1
"245","GLSA","N[2]",1444.36,"CAM-SC_noinfo_multigrid_t15",15,1390.197,311.802,731,1438,1933,1.83,35,"CAM-SC_noinfo_multigrid",2
"246","GLSA","N[3]",1982.772,"CAM-SC_noinfo_multigrid_t15",15,1650.465,320.825,855,1743,1987,1.27,34,"CAM-SC_noinfo_multigrid",3
"247","GLSA","N[4]",1729.409,"CAM-SC_noinfo_multigrid_t15",15,1518.955,318.326,791.475,1610,1958,1.08,27,"CAM-SC_noinfo_multigrid",4
"248","GLSA","N[5]",1408.669,"CAM-SC_noinfo_multigrid_t15",15,1381.554,291.06,689,1437,1817,1.09,45,"CAM-SC_noinfo_multigrid",5
"249","GLSA","N[6]",972.218,"CAM-SC_noinfo_multigrid_t15",15,1039.58,278.15,491,1046,1584.525,1.28,43,"CAM-SC_noinfo_multigrid",6
"250","GLSA","N[7]",1083.699,"CAM-SC_noinfo_multigrid_t15",15,964.424,234.814,477,988.5,1404,1.28,57,"CAM-SC_noinfo_multigrid",7
"251","GLSA","N[8]",1450.77,"CAM-SC_noinfo_multigrid_t15",15,1341.981,289.274,678,1396,1788,1.12,39,"CAM-SC_noinfo_multigrid",8
"252","GLSA","psi[1]",0.876,"CAM-SC_noinfo_multigrid_t15",15,0.775,0.166,0.369,0.825,0.987,1.6,29,"CAM-SC_noinfo_multigrid",1
"253","GLSA","psi[2]",0.719,"CAM-SC_noinfo_multigrid_t15",15,0.695,0.156,0.364,0.719,0.966,1.83,37,"CAM-SC_noinfo_multigrid",2
"254","GLSA","psi[3]",0.988,"CAM-SC_noinfo_multigrid_t15",15,0.825,0.161,0.427,0.871,0.993,1.27,34,"CAM-SC_noinfo_multigrid",3
"255","GLSA","psi[4]",0.889,"CAM-SC_noinfo_multigrid_t15",15,0.759,0.159,0.394,0.805,0.979,1.08,27,"CAM-SC_noinfo_multigrid",4
"256","GLSA","psi[5]",0.725,"CAM-SC_noinfo_multigrid_t15",15,0.691,0.146,0.346,0.718,0.909,1.09,44,"CAM-SC_noinfo_multigrid",5
"257","GLSA","psi[6]",0.495,"CAM-SC_noinfo_multigrid_t15",15,0.52,0.139,0.246,0.523,0.789,1.28,42,"CAM-SC_noinfo_multigrid",6
"258","GLSA","psi[7]",0.53,"CAM-SC_noinfo_multigrid_t15",15,0.482,0.118,0.237,0.494,0.704,1.28,56,"CAM-SC_noinfo_multigrid",7
"259","GLSA","psi[8]",0.755,"CAM-SC_noinfo_multigrid_t15",15,0.671,0.145,0.338,0.697,0.894,1.12,40,"CAM-SC_noinfo_multigrid",8
"260","GLSA","sigma",15.638,"CAM-SC_noinfo_multigrid_t15",15,16.195,1.478,14.068,15.83,19.699,1.26,87,"CAM-SC_noinfo_multigrid",NA
"261","GLSA","D[1]",14.352,"CAM-SC_noinfo_multigrid_t60",60,14.111,2.264,8.566,14.474,17.824,1.2,36,"CAM-SC_noinfo_multigrid",1
"262","GLSA","D[2]",11.656,"CAM-SC_noinfo_multigrid_t60",60,13.109,2.532,7.783,13.282,17.278,1.88,35,"CAM-SC_noinfo_multigrid",2
"263","GLSA","D[3]",16.87,"CAM-SC_noinfo_multigrid_t60",60,15.223,2.195,9.495,15.74,18.025,1.03,28,"CAM-SC_noinfo_multigrid",3
"264","GLSA","D[4]",15.819,"CAM-SC_noinfo_multigrid_t60",60,14.888,2.196,9.322,15.385,17.87,1.33,34,"CAM-SC_noinfo_multigrid",4
"265","GLSA","D[5]",14.689,"CAM-SC_noinfo_multigrid_t60",60,13.573,2.376,8.011,14.005,17.142,1.25,34,"CAM-SC_noinfo_multigrid",5
"266","GLSA","D[6]",10.585,"CAM-SC_noinfo_multigrid_t60",60,9.802,1.95,5.571,9.904,13.573,1.28,58,"CAM-SC_noinfo_multigrid",6
"267","GLSA","D[7]",9.922,"CAM-SC_noinfo_multigrid_t60",60,9.943,2.303,5.435,9.832,14.929,1.41,45,"CAM-SC_noinfo_multigrid",7
"268","GLSA","D[8]",14.126,"CAM-SC_noinfo_multigrid_t60",60,13.461,2.401,7.592,13.846,17.342,1.17,29,"CAM-SC_noinfo_multigrid",8
"269","GLSA","lam0",0.211,"CAM-SC_noinfo_multigrid_t60",60,0.203,0.03,0.145,0.204,0.261,1.11,84,"CAM-SC_noinfo_multigrid",NA
"270","GLSA","N[1]",1576.617,"CAM-SC_noinfo_multigrid_t60",60,1550.057,248.699,941,1590,1958,1.2,36,"CAM-SC_noinfo_multigrid",1
"271","GLSA","N[2]",1280.392,"CAM-SC_noinfo_multigrid_t60",60,1439.983,278.156,855,1459,1898,1.88,35,"CAM-SC_noinfo_multigrid",2
"272","GLSA","N[3]",1853.212,"CAM-SC_noinfo_multigrid_t60",60,1672.195,241.144,1043,1729,1980,1.03,28,"CAM-SC_noinfo_multigrid",3
"273","GLSA","N[4]",1737.689,"CAM-SC_noinfo_multigrid_t60",60,1635.462,241.274,1024,1690,1963,1.33,34,"CAM-SC_noinfo_multigrid",4
"274","GLSA","N[5]",1613.638,"CAM-SC_noinfo_multigrid_t60",60,1491.029,260.952,880,1538.5,1883,1.25,34,"CAM-SC_noinfo_multigrid",5
"275","GLSA","N[6]",1162.786,"CAM-SC_noinfo_multigrid_t60",60,1076.73,214.177,612,1088,1491,1.28,58,"CAM-SC_noinfo_multigrid",6
"276","GLSA","N[7]",1089.958,"CAM-SC_noinfo_multigrid_t60",60,1092.272,252.995,597,1080,1640,1.41,45,"CAM-SC_noinfo_multigrid",7
"277","GLSA","N[8]",1551.711,"CAM-SC_noinfo_multigrid_t60",60,1478.727,263.722,834,1521,1905,1.17,29,"CAM-SC_noinfo_multigrid",8
"278","GLSA","psi[1]",0.794,"CAM-SC_noinfo_multigrid_t60",60,0.774,0.125,0.47,0.794,0.98,1.2,35,"CAM-SC_noinfo_multigrid",1
"279","GLSA","psi[2]",0.775,"CAM-SC_noinfo_multigrid_t60",60,0.72,0.139,0.427,0.73,0.95,1.88,36,"CAM-SC_noinfo_multigrid",2
"280","GLSA","psi[3]",0.924,"CAM-SC_noinfo_multigrid_t60",60,0.836,0.121,0.521,0.864,0.989,1.03,28,"CAM-SC_noinfo_multigrid",3
"281","GLSA","psi[4]",0.849,"CAM-SC_noinfo_multigrid_t60",60,0.817,0.121,0.511,0.845,0.981,1.33,34,"CAM-SC_noinfo_multigrid",4
"282","GLSA","psi[5]",0.787,"CAM-SC_noinfo_multigrid_t60",60,0.745,0.131,0.44,0.769,0.94,1.24,34,"CAM-SC_noinfo_multigrid",5
"283","GLSA","psi[6]",0.593,"CAM-SC_noinfo_multigrid_t60",60,0.538,0.107,0.306,0.544,0.746,1.28,57,"CAM-SC_noinfo_multigrid",6
"284","GLSA","psi[7]",0.553,"CAM-SC_noinfo_multigrid_t60",60,0.546,0.127,0.297,0.54,0.821,1.42,49,"CAM-SC_noinfo_multigrid",7
"285","GLSA","psi[8]",0.758,"CAM-SC_noinfo_multigrid_t60",60,0.739,0.132,0.415,0.76,0.955,1.17,32,"CAM-SC_noinfo_multigrid",8
"286","GLSA","sigma",18.489,"CAM-SC_noinfo_multigrid_t60",60,18.962,1.869,16.095,18.765,22.995,1.26,51,"CAM-SC_noinfo_multigrid",NA
"287","GLSA","D[1]",10.037,"CAM-SC_noinfo_multigrid_t1440",1440,9.79,2.615,4.224,9.977,14.11,1.8,52,"CAM-SC_noinfo_multigrid",1
"288","GLSA","D[2]",8.546,"CAM-SC_noinfo_multigrid_t1440",1440,9.375,2.763,3.737,9.176,14.32,2.17,55,"CAM-SC_noinfo_multigrid",2
"289","GLSA","D[3]",15.164,"CAM-SC_noinfo_multigrid_t1440",1440,11.839,3.166,5.038,11.916,16.777,1.74,38,"CAM-SC_noinfo_multigrid",3
"290","GLSA","D[4]",8.651,"CAM-SC_noinfo_multigrid_t1440",1440,10.154,2.872,4.397,10.132,15.812,1.81,40,"CAM-SC_noinfo_multigrid",4
"291","GLSA","D[5]",9.468,"CAM-SC_noinfo_multigrid_t1440",1440,9.917,2.842,4.192,9.95,15.831,1.71,34,"CAM-SC_noinfo_multigrid",5
"292","GLSA","D[6]",7.53,"CAM-SC_noinfo_multigrid_t1440",1440,8.332,2.435,3.487,8.175,12.945,2.24,66,"CAM-SC_noinfo_multigrid",6
"293","GLSA","D[7]",9.248,"CAM-SC_noinfo_multigrid_t1440",1440,7.74,2.374,3.35,7.747,12.467,1.7,55,"CAM-SC_noinfo_multigrid",7
"294","GLSA","D[8]",12.46,"CAM-SC_noinfo_multigrid_t1440",1440,10.8,3.039,4.579,10.979,16.104,2.09,40,"CAM-SC_noinfo_multigrid",8
"295","GLSA","lam0",0.007,"CAM-SC_noinfo_multigrid_t1440",1440,0.01,0.005,0.002,0.009,0.023,1.36,22,"CAM-SC_noinfo_multigrid",NA
"296","GLSA","N[1]",1102.558,"CAM-SC_noinfo_multigrid_t1440",1440,1075.484,287.302,464,1096,1550,1.8,52,"CAM-SC_noinfo_multigrid",1
"297","GLSA","N[2]",938.735,"CAM-SC_noinfo_multigrid_t1440",1440,1029.849,303.57,410.475,1008,1573,2.17,55,"CAM-SC_noinfo_multigrid",2
"298","GLSA","N[3]",1665.801,"CAM-SC_noinfo_multigrid_t1440",1440,1300.49,347.833,553.475,1309,1843,1.74,38,"CAM-SC_noinfo_multigrid",3
"299","GLSA","N[4]",950.326,"CAM-SC_noinfo_multigrid_t1440",1440,1115.412,315.53,483,1113,1737,1.81,40,"CAM-SC_noinfo_multigrid",4
"300","GLSA","N[5]",1040.019,"CAM-SC_noinfo_multigrid_t1440",1440,1089.348,312.182,460.475,1093,1739,1.71,34,"CAM-SC_noinfo_multigrid",5
"301","GLSA","N[6]",827.168,"CAM-SC_noinfo_multigrid_t1440",1440,915.264,267.439,383,898,1422,2.24,66,"CAM-SC_noinfo_multigrid",6
"302","GLSA","N[7]",1015.947,"CAM-SC_noinfo_multigrid_t1440",1440,850.29,260.835,368,851,1369.525,1.7,55,"CAM-SC_noinfo_multigrid",7
"303","GLSA","N[8]",1368.748,"CAM-SC_noinfo_multigrid_t1440",1440,1186.369,333.862,503,1206,1769,2.09,40,"CAM-SC_noinfo_multigrid",8
"304","GLSA","psi[1]",0.615,"CAM-SC_noinfo_multigrid_t1440",1440,0.537,0.144,0.234,0.548,0.775,1.79,53,"CAM-SC_noinfo_multigrid",1
"305","GLSA","psi[2]",0.486,"CAM-SC_noinfo_multigrid_t1440",1440,0.515,0.152,0.201,0.504,0.787,2.17,59,"CAM-SC_noinfo_multigrid",2
"306","GLSA","psi[3]",0.572,"CAM-SC_noinfo_multigrid_t1440",1440,0.65,0.174,0.275,0.655,0.92,1.74,41,"CAM-SC_noinfo_multigrid",3
"307","GLSA","psi[4]",0.502,"CAM-SC_noinfo_multigrid_t1440",1440,0.557,0.158,0.242,0.556,0.867,1.8,42,"CAM-SC_noinfo_multigrid",4
"308","GLSA","psi[5]",0.534,"CAM-SC_noinfo_multigrid_t1440",1440,0.545,0.156,0.231,0.547,0.871,1.71,37,"CAM-SC_noinfo_multigrid",5
"309","GLSA","psi[6]",0.425,"CAM-SC_noinfo_multigrid_t1440",1440,0.458,0.134,0.191,0.449,0.712,2.24,71,"CAM-SC_noinfo_multigrid",6
"310","GLSA","psi[7]",0.426,"CAM-SC_noinfo_multigrid_t1440",1440,0.425,0.131,0.185,0.427,0.684,1.69,58,"CAM-SC_noinfo_multigrid",7
"311","GLSA","psi[8]",0.69,"CAM-SC_noinfo_multigrid_t1440",1440,0.593,0.167,0.253,0.602,0.886,2.09,42,"CAM-SC_noinfo_multigrid",8
"312","GLSA","sigma",96.104,"CAM-SC_noinfo_multigrid_t1440",1440,92.99,25.457,49.031,94.342,152.446,1.24,24,"CAM-SC_noinfo_multigrid",NA
