"mean","sd","X2.5.","X50.","X97.5.","overlap0","f","Rhat","n.eff","param","sp","grid","mode"
"lam010",0.025,0.004,0.018,0.025,0.035,FALSE,1,1.006,361,"lam0","PEMA","2",NA
"sigma10",13.945,1.116,11.996,13.847,16.31,FALSE,1,1.005,485,"sigma","PEMA","2",NA
"psim10",0.292,0.043,0.217,0.29,0.383,FALSE,1,1,6000,"psim","PEMA","2",NA
"N10",177.944,23.101,138,176,228,FALSE,1,1,5329,"N","PEMA","2","179.9694"
"D10",52.642,6.834,40.825,52.067,67.451,FALSE,1,1,5329,"D","PEMA","2","53.24154"
"deviance10",912.909,27.813,861.798,911.713,969.607,FALSE,1,1.003,621,"deviance","PEMA","2",NA
"lam011",0.056,0.01,0.039,0.055,0.079,FALSE,1,1.005,439,"lam0","PEMA","3",NA
"sigma11",10.088,0.779,8.683,10.047,11.761,FALSE,1,1.002,1186,"sigma","PEMA","3",NA
"psim11",0.257,0.042,0.183,0.254,0.344,FALSE,1,1.002,829,"psim","PEMA","3",NA
"N11",102.497,14.188,78,102,133,FALSE,1,1.003,609,"N","PEMA","3","103.0241"
"D11",34.98,4.842,26.62,34.81,45.39,FALSE,1,1.003,609,"D","PEMA","3","35.15997"
"deviance11",566.694,20.898,528.718,565.639,610.306,FALSE,1,1.003,638,"deviance","PEMA","3",NA
"lam012",0.014,0.004,0.007,0.013,0.023,FALSE,1,1.002,1610,"lam0","PEMA","4",NA
"sigma12",23.977,4.614,16.535,23.437,34.391,FALSE,1,1.009,466,"sigma","PEMA","4",NA
"psim12",0.283,0.081,0.151,0.276,0.459,FALSE,1,1.006,2957,"psim","PEMA","4",NA
"N12",56.185,15.29,32,54,90.025,FALSE,1,1.006,4541,"N","PEMA","4","53.98756"
"D12",12.641,3.44,7.2,12.149,20.254,FALSE,1,1.006,4541,"D","PEMA","4","12.1465"
"deviance12",344.363,15.571,316.36,343.346,376.965,FALSE,1,1.006,624,"deviance","PEMA","4",NA
"lam013",0.045,0.007,0.032,0.045,0.062,FALSE,1,1.004,486,"lam0","PEMA","5",NA
"sigma13",12.755,0.922,11.141,12.703,14.739,FALSE,1,1.005,504,"sigma","PEMA","5",NA
"psim13",0.257,0.041,0.186,0.254,0.346,FALSE,1,1.005,495,"psim","PEMA","5",NA
"N13",107.34,14.607,82,106,140,FALSE,1,1.005,610,"N","PEMA","5","112.9712"
"D13",31.804,4.328,24.296,31.406,41.48,FALSE,1,1.005,610,"D","PEMA","5","33.47197"
"deviance13",689.638,19.736,653.317,689.087,731.596,FALSE,1,1,4172,"deviance","PEMA","5",NA
"lam014",0.041,0.008,0.028,0.041,0.058,FALSE,1,1.001,2185,"lam0","PEMA","7",NA
"sigma14",11.571,0.936,9.883,11.528,13.54,FALSE,1,1.002,1231,"sigma","PEMA","7",NA
"psim14",0.283,0.046,0.2,0.28,0.382,FALSE,1,1.003,1353,"psim","PEMA","7",NA
