"param","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model","g","sp","t","mode"
"lam0",3.155,0.939,1.762,2.985,5.38,1.11,69,"CAM-SC_noinfo_separate",2,"PEMA",15,2.644
"N",1188.214,415.736,424,1235,1916,2.37,13,"CAM-SC_noinfo_separate",2,"PEMA",15,1307.429
"psi",0.594,0.208,0.213,0.618,0.958,2.37,13,"CAM-SC_noinfo_separate",2,"PEMA",15,0.644
"sigma",4.617,0.901,3.097,4.579,6.569,1.73,37,"CAM-SC_noinfo_separate",2,"PEMA",15,4.938
"D",67.171,39.733,11.811,61.755,161.305,1.86,12,"CAM-SC_noinfo_separate",3,"PEMA",15,25.495
"lam0",1.142,0.465,0.552,1.048,2.171,1.52,23,"CAM-SC_noinfo_separate",3,"PEMA",15,0.768
"N",597.147,353.229,105,549,1434,1.86,12,"CAM-SC_noinfo_separate",3,"PEMA",15,226.649
"psi",0.299,0.177,0.051,0.276,0.717,1.87,12,"CAM-SC_noinfo_separate",3,"PEMA",15,0.118
"sigma",13.563,3.744,6.568,13.237,21.147,1.39,19,"CAM-SC_noinfo_separate",3,"PEMA",15,12.183
"D",153.39,44.37,50.619,159.843,222.16,1.38,13,"CAM-SC_noinfo_separate",4,"PEMA",15,180.462
"lam0",1.527,0.553,0.774,1.422,2.871,1.15,43,"CAM-SC_noinfo_separate",4,"PEMA",15,1.114
"N",1363.635,394.45,450,1421,1975,1.38,13,"CAM-SC_noinfo_separate",4,"PEMA",15,1604.307
"psi",0.682,0.197,0.225,0.71,0.987,1.38,13,"CAM-SC_noinfo_separate",4,"PEMA",15,0.804
"sigma",6.246,1.296,4.049,6.141,9.265,1.41,33,"CAM-SC_noinfo_separate",4,"PEMA",15,6.139
"D",160.744,51.358,53.543,174.128,222.722,2.27,29,"CAM-SC_noinfo_separate",5,"PEMA",15,221.111
"lam0",0.984,0.321,0.486,0.945,1.77,1.19,44,"CAM-SC_noinfo_separate",5,"PEMA",15,0.829
"N",1429.018,456.57,476,1548,1980,2.27,29,"CAM-SC_noinfo_separate",5,"PEMA",15,1965.676
"psi",0.714,0.228,0.237,0.774,0.99,2.27,28,"CAM-SC_noinfo_separate",5,"PEMA",15,0.983
"sigma",8.755,1.994,5.383,8.472,13.324,1.19,29,"CAM-SC_noinfo_separate",5,"PEMA",15,8.177
