"param","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model","g","sp","t","mode"
"sigma",3.692,0.617,2.595,3.642,5.039,1.12,40,"CAM-SC_info_separate",7,"PEMA",15,3.741
"D",202.295,21.035,144.935,208.886,224.409,1.03,26,"CAM-SC_info_separate",8,"PEMA",15,224.369
"lam0",3.325,0.95,1.994,3.183,5.454,1.07,71,"CAM-SC_info_separate",8,"PEMA",15,2.96
"N",1798.403,187.005,1288.475,1857,1995,1.03,26,"CAM-SC_info_separate",8,"PEMA",15,1994.636
"psi",0.899,0.094,0.644,0.928,0.997,1.03,24,"CAM-SC_info_separate",8,"PEMA",15,0.997
"sigma",4.026,0.529,2.945,4.021,5.088,1.09,56,"CAM-SC_info_separate",8,"PEMA",15,3.936
"D",200.091,22.297,146.569,206.299,224.409,1.87,34,"CAM-SC_info_separate",1,"PEMA",60,223.855
"lam0",1.957,0.595,1.058,1.867,3.398,1.09,165,"CAM-SC_info_separate",1,"PEMA",60,1.701
"N",1778.812,198.224,1303,1834,1995,1.87,34,"CAM-SC_info_separate",1,"PEMA",60,1990.068
"psi",0.889,0.099,0.652,0.917,0.997,1.87,33,"CAM-SC_info_separate",1,"PEMA",60,0.993
"sigma",2.673,0.414,1.934,2.658,3.54,1.13,159,"CAM-SC_info_separate",1,"PEMA",60,2.642
"D",210.222,12.849,179.303,214.398,224.747,1.09,42,"CAM-SC_info_separate",2,"PEMA",60,224.695
"lam0",1.776,0.511,0.935,1.71,2.902,1.04,165,"CAM-SC_info_separate",2,"PEMA",60,1.558
"N",1868.869,114.23,1594,1906,1998,1.09,42,"CAM-SC_info_separate",2,"PEMA",60,1997.542
"psi",0.934,0.057,0.797,0.953,0.999,1.09,41,"CAM-SC_info_separate",2,"PEMA",60,0.999
"sigma",3.019,0.451,2.206,2.985,4.029,1.05,125,"CAM-SC_info_separate",2,"PEMA",60,2.985
"D",199.986,18.71,155.568,204.612,223.285,1.34,44,"CAM-SC_info_separate",3,"PEMA",60,220.53
"lam0",1.748,0.591,0.794,1.679,3.063,1.08,64,"CAM-SC_info_separate",3,"PEMA",60,1.577
"N",1777.879,166.336,1383,1819,1985,1.34,44,"CAM-SC_info_separate",3,"PEMA",60,1960.509
"psi",0.889,0.083,0.691,0.909,0.992,1.34,42,"CAM-SC_info_separate",3,"PEMA",60,0.982
"sigma",3.71,0.671,2.584,3.634,5.287,1.02,60,"CAM-SC_info_separate",3,"PEMA",60,3.498
"D",203.519,17.482,155.734,207.087,224.297,1.08,29,"CAM-SC_info_separate",4,"PEMA",60,224.069
"lam0",1.44,0.438,0.732,1.393,2.481,1.02,102,"CAM-SC_info_separate",4,"PEMA",60,1.327
"N",1809.283,155.413,1384.475,1841,1994,1.08,29,"CAM-SC_info_separate",4,"PEMA",60,1991.976
"psi",0.904,0.078,0.692,0.92,0.996,1.08,31,"CAM-SC_info_separate",4,"PEMA",60,0.996
"sigma",3.849,0.595,2.887,3.781,5.178,1.02,91,"CAM-SC_info_separate",4,"PEMA",60,3.521
"D",204.28,18.866,155.456,210.686,224.072,1.22,36,"CAM-SC_info_separate",5,"PEMA",60,218.434
"lam0",1.702,0.498,0.908,1.622,2.902,1.02,95,"CAM-SC_info_separate",5,"PEMA",60,1.544
"N",1816.045,167.716,1382,1873,1992,1.22,36,"CAM-SC_info_separate",5,"PEMA",60,1941.883
"psi",0.908,0.084,0.689,0.937,0.996,1.22,35,"CAM-SC_info_separate",5,"PEMA",60,0.99
"sigma",3.709,0.6,2.621,3.673,4.996,1.02,81,"CAM-SC_info_separate",5,"PEMA",60,3.623
"D",198.324,22.598,146.907,205.849,224.184,1.63,25,"CAM-SC_info_separate",6,"PEMA",60,222.115
"lam0",1.491,0.404,0.828,1.447,2.36,1.05,147,"CAM-SC_info_separate",6,"PEMA",60,1.334
"N",1763.099,200.898,1306,1830,1993,1.63,25,"CAM-SC_info_separate",6,"PEMA",60,1974.599
"psi",0.881,0.101,0.652,0.915,0.996,1.64,24,"CAM-SC_info_separate",6,"PEMA",60,0.987
"sigma",3.291,0.465,2.473,3.25,4.302,1.13,110,"CAM-SC_info_separate",6,"PEMA",60,3.104
"D",196.123,22.452,141.282,201.012,223.96,2.24,32,"CAM-SC_info_separate",7,"PEMA",60,222.979
"lam0",1.258,0.396,0.656,1.186,2.183,1.07,89,"CAM-SC_info_separate",7,"PEMA",60,1.073
"N",1743.533,199.599,1256,1787,1991,2.24,32,"CAM-SC_info_separate",7,"PEMA",60,1982.281
"psi",0.871,0.1,0.625,0.893,0.995,2.24,32,"CAM-SC_info_separate",7,"PEMA",60,0.988
"sigma",3.953,0.618,2.913,3.905,5.383,1.01,83,"CAM-SC_info_separate",7,"PEMA",60,3.799
"D",191.995,20.839,147.807,195.613,221.597,1.08,34,"CAM-SC_info_separate",8,"PEMA",60,203.872
"lam0",1.929,0.598,1.029,1.823,3.305,1.2,85,"CAM-SC_info_separate",8,"PEMA",60,1.628
"N",1706.834,185.262,1314,1739,1970,1.08,34,"CAM-SC_info_separate",8,"PEMA",60,1812.426
"psi",0.853,0.093,0.656,0.869,0.985,1.08,34,"CAM-SC_info_separate",8,"PEMA",60,0.904
"sigma",3.583,0.558,2.585,3.562,4.711,1.28,76,"CAM-SC_info_separate",8,"PEMA",60,3.481
"D",206.205,14.937,173.566,208.999,224.522,1.14,40,"CAM-SC_info_separate",1,"PEMA",1440,224.428
"lam0",0.672,0.234,0.338,0.633,1.262,1.01,300,"CAM-SC_info_separate",1,"PEMA",1440,0.562
"N",1833.164,132.786,1543,1858,1996,1.14,40,"CAM-SC_info_separate",1,"PEMA",1440,1995.165
"psi",0.916,0.066,0.773,0.928,0.998,1.14,38,"CAM-SC_info_separate",1,"PEMA",1440,0.997
"sigma",2.965,0.465,2.103,2.949,3.927,1.01,316,"CAM-SC_info_separate",1,"PEMA",1440,2.78
"D",198.425,26.29,126.547,207.087,224.072,1.58,14,"CAM-SC_info_separate",2,"PEMA",1440,221.398
"lam0",0.662,0.219,0.338,0.63,1.167,1.01,250,"CAM-SC_info_separate",2,"PEMA",1440,0.57
"N",1763.995,233.72,1125,1841,1992,1.58,14,"CAM-SC_info_separate",2,"PEMA",1440,1968.224
"psi",0.882,0.117,0.562,0.92,0.996,1.59,14,"CAM-SC_info_separate",2,"PEMA",1440,0.982
"sigma",3.248,0.528,2.303,3.225,4.372,1.03,242,"CAM-SC_info_separate",2,"PEMA",1440,3.018
"D",196.741,24.041,142.011,204.162,224.072,1.2,21,"CAM-SC_info_separate",3,"PEMA",1440,223.727
"lam0",0.644,0.211,0.324,0.62,1.113,1,170,"CAM-SC_info_separate",3,"PEMA",1440,0.577
"N",1749.024,213.727,1262.475,1815,1992,1.2,21,"CAM-SC_info_separate",3,"PEMA",1440,1988.934
"psi",0.874,0.107,0.63,0.908,0.996,1.2,20,"CAM-SC_info_separate",3,"PEMA",1440,0.992
"sigma",3.716,0.608,2.668,3.666,4.997,1.02,156,"CAM-SC_info_separate",3,"PEMA",1440,3.683
"D",197.742,20.043,152.306,202.362,223.51,1.8,28,"CAM-SC_info_separate",4,"PEMA",1440,215.812
"lam0",0.594,0.195,0.299,0.563,1.055,1.05,168,"CAM-SC_info_separate",4,"PEMA",1440,0.489
"N",1757.923,178.185,1354,1799,1987,1.8,28,"CAM-SC_info_separate",4,"PEMA",1440,1918.565
"psi",0.879,0.089,0.676,0.899,0.994,1.81,29,"CAM-SC_info_separate",4,"PEMA",1440,0.966
"sigma",3.778,0.616,2.65,3.741,5.086,1.04,148,"CAM-SC_info_separate",4,"PEMA",1440,3.768
"D",194.506,20.33,148.256,197.863,222.947,1.17,29,"CAM-SC_info_separate",5,"PEMA",1440,210.299
"lam0",0.673,0.187,0.383,0.645,1.107,1.01,242,"CAM-SC_info_separate",5,"PEMA",1440,0.591
"N",1729.162,180.733,1318,1759,1982,1.17,29,"CAM-SC_info_separate",5,"PEMA",1440,1869.56
"psi",0.864,0.091,0.658,0.879,0.991,1.17,28,"CAM-SC_info_separate",5,"PEMA",1440,0.936
"sigma",3.671,0.503,2.797,3.644,4.722,1.01,231,"CAM-SC_info_separate",5,"PEMA",1440,3.68
"D",195.33,23.023,134.196,200.056,223.847,1.36,22,"CAM-SC_info_separate",6,"PEMA",1440,218.874
"lam0",0.584,0.173,0.319,0.557,0.987,1,249,"CAM-SC_info_separate",6,"PEMA",1440,0.522
"N",1736.482,204.67,1193,1778.5,1990,1.36,22,"CAM-SC_info_separate",6,"PEMA",1440,1945.788
"psi",0.868,0.102,0.594,0.889,0.995,1.37,23,"CAM-SC_info_separate",6,"PEMA",1440,0.973
"sigma",3.52,0.511,2.596,3.49,4.602,1.06,224,"CAM-SC_info_separate",6,"PEMA",1440,3.603
"D",201.996,20.266,147.582,208.549,224.072,1.32,34,"CAM-SC_info_separate",7,"PEMA",1440,217.101
"lam0",0.538,0.168,0.277,0.514,0.92,1.1,207,"CAM-SC_info_separate",7,"PEMA",1440,0.478
"N",1795.748,180.162,1312,1854,1992,1.32,34,"CAM-SC_info_separate",7,"PEMA",1440,1930.027
"psi",0.897,0.09,0.656,0.927,0.996,1.32,34,"CAM-SC_info_separate",7,"PEMA",1440,0.987
"sigma",3.697,0.564,2.722,3.662,4.897,1.03,197,"CAM-SC_info_separate",7,"PEMA",1440,3.524
"D",202.332,18.75,152.531,206.074,224.522,1.2,32,"CAM-SC_info_separate",8,"PEMA",1440,224.613
"lam0",0.592,0.189,0.299,0.563,1.024,1.05,179,"CAM-SC_info_separate",8,"PEMA",1440,0.504
"N",1798.727,166.689,1356,1832,1996,1.2,32,"CAM-SC_info_separate",8,"PEMA",1440,1996.813
"psi",0.899,0.083,0.675,0.915,0.998,1.2,31,"CAM-SC_info_separate",8,"PEMA",1440,0.996
"sigma",3.796,0.597,2.759,3.759,5.084,1.1,180,"CAM-SC_info_separate",8,"PEMA",1440,3.714
"D",5.381,2.092,2.726,4.743,10.633,2.53,51,"CAM-SC_noinfo_separate",1,"TATO",0,3.844
"lam0",5.598,1.039,3.787,5.605,7.618,2.14,47,"CAM-SC_noinfo_separate",1,"TATO",0,6.169
"N",591.097,229.838,299.475,521,1168,2.53,51,"CAM-SC_noinfo_separate",1,"TATO",0,422.258
"psi",0.296,0.115,0.148,0.261,0.583,2.51,53,"CAM-SC_noinfo_separate",1,"TATO",0,0.232
"sigma",16.34,1.823,12,16.782,18.912,2.66,28,"CAM-SC_noinfo_separate",1,"TATO",0,17.12
"D",11.864,3.138,6.573,11.379,17.915,3.34,29,"CAM-SC_noinfo_separate",2,"TATO",0,10.506
"lam0",3.058,0.526,2.075,3.026,4.315,1.48,82,"CAM-SC_noinfo_separate",2,"TATO",0,3.092
"N",1303.242,344.703,722,1250,1968,3.34,29,"CAM-SC_noinfo_separate",2,"TATO",0,1154.131
"psi",0.651,0.172,0.359,0.625,0.984,3.35,31,"CAM-SC_noinfo_separate",2,"TATO",0,0.55
"sigma",16.881,1.616,13.614,16.856,19.926,1.68,46,"CAM-SC_noinfo_separate",2,"TATO",0,17.29
"D",12.174,3.162,6.536,12.162,17.633,1.43,17,"CAM-SC_noinfo_separate",3,"TATO",0,14.781
"lam0",3.925,0.626,2.79,3.877,5.27,1.15,74,"CAM-SC_noinfo_separate",3,"TATO",0,3.883
"N",1337.323,347.299,718,1336,1937,1.43,17,"CAM-SC_noinfo_separate",3,"TATO",0,1623.673
"psi",0.668,0.174,0.358,0.668,0.969,1.43,18,"CAM-SC_noinfo_separate",3,"TATO",0,0.817
"sigma",14.203,1.623,11.169,14.286,16.938,1.19,31,"CAM-SC_noinfo_separate",3,"TATO",0,15.325
"D",9.068,4.266,3.618,7.765,17.843,3.33,44,"CAM-SC_noinfo_separate",4,"TATO",0,4.831
"lam0",4.307,0.718,3.013,4.267,5.799,1.04,93,"CAM-SC_noinfo_separate",4,"TATO",0,4.261
"N",996.17,468.674,397.475,853,1960,3.33,44,"CAM-SC_noinfo_separate",4,"TATO",0,530.642
"psi",0.498,0.234,0.197,0.427,0.98,3.32,48,"CAM-SC_noinfo_separate",4,"TATO",0,0.323
"sigma",14.447,3.073,8.751,14.961,19.29,3.23,39,"CAM-SC_noinfo_separate",4,"TATO",0,16.893
"D",11.844,4.349,5.18,12.909,17.915,3.84,34,"CAM-SC_noinfo_separate",5,"TATO",0,6.521
"lam0",6.725,1.579,4.244,6.534,9.917,2.87,29,"CAM-SC_noinfo_separate",5,"TATO",0,5.383
"N",1301.024,477.728,569,1418,1968,3.84,34,"CAM-SC_noinfo_separate",5,"TATO",0,716.348
"psi",0.65,0.239,0.282,0.709,0.984,3.84,35,"CAM-SC_noinfo_separate",5,"TATO",0,0.364
"sigma",15.133,1.871,12.209,14.806,18.375,3.56,40,"CAM-SC_noinfo_separate",5,"TATO",0,13.968
"D",13.786,3.008,7.86,14.529,17.961,1.96,22,"CAM-SC_noinfo_separate",6,"TATO",0,15.734
"lam0",5.252,1.026,3.521,5.084,7.424,1.15,77,"CAM-SC_noinfo_separate",6,"TATO",0,4.726
"N",1514.357,330.463,863.475,1596,1973,1.96,22,"CAM-SC_noinfo_separate",6,"TATO",0,1728.384
"psi",0.757,0.165,0.431,0.799,0.985,1.96,22,"CAM-SC_noinfo_separate",6,"TATO",0,0.848
"sigma",9.47,1.494,7.473,9.118,13.186,1.77,31,"CAM-SC_noinfo_separate",6,"TATO",0,8.322
"D",13.757,2.606,9.158,13.637,18.015,1.08,20,"CAM-SC_noinfo_separate",7,"TATO",0,18.011
"lam0",6.167,0.909,4.71,6.009,8.25,1.18,33,"CAM-SC_noinfo_separate",7,"TATO",0,5.853
"N",1511.214,286.264,1006,1498,1979,1.08,20,"CAM-SC_noinfo_separate",7,"TATO",0,1978.493
"psi",0.755,0.143,0.502,0.749,0.989,1.07,21,"CAM-SC_noinfo_separate",7,"TATO",0,0.989
"sigma",17.096,1.338,14.294,17.228,19.575,1.05,28,"CAM-SC_noinfo_separate",7,"TATO",0,17.401
"D",12.738,2.62,7.583,13.027,17.06,1.04,21,"CAM-SC_noinfo_separate",8,"TATO",0,14.233
"lam0",4.007,0.627,2.932,3.963,5.354,1.16,46,"CAM-SC_noinfo_separate",8,"TATO",0,3.832
"N",1399.235,287.838,833,1431,1874,1.04,21,"CAM-SC_noinfo_separate",8,"TATO",0,1563.443
"psi",0.699,0.144,0.415,0.715,0.937,1.04,20,"CAM-SC_noinfo_separate",8,"TATO",0,0.784
"sigma",18.224,1.427,15.595,18.105,21.233,1.13,39,"CAM-SC_noinfo_separate",8,"TATO",0,18.06
"D",8.113,3.609,2.576,7.811,16.746,1.05,17,"CAM-SC_noinfo_separate",1,"TATO",15,10.059
"lam0",0.51,0.157,0.258,0.492,0.878,1.18,89,"CAM-SC_noinfo_separate",1,"TATO",15,0.464
"N",891.229,396.428,283,858,1839.525,1.05,17,"CAM-SC_noinfo_separate",1,"TATO",15,1104.944
"psi",0.446,0.198,0.142,0.428,0.92,1.05,19,"CAM-SC_noinfo_separate",1,"TATO",15,0.565
"sigma",24.158,4.066,17.134,23.884,33.458,1.11,75,"CAM-SC_noinfo_separate",1,"TATO",15,24.062
"D",14.065,2.515,8.766,14.301,17.906,1.13,18,"CAM-SC_noinfo_separate",2,"TATO",15,14.207
"lam0",0.566,0.13,0.335,0.557,0.837,1.03,83,"CAM-SC_noinfo_separate",2,"TATO",15,0.574
"N",1545.038,276.271,963,1571,1967,1.13,18,"CAM-SC_noinfo_separate",2,"TATO",15,1560.589
"psi",0.772,0.138,0.481,0.785,0.983,1.13,18,"CAM-SC_noinfo_separate",2,"TATO",15,0.771
"sigma",22.885,2.908,17.964,22.817,29.15,1.05,57,"CAM-SC_noinfo_separate",2,"TATO",15,22.848
"D",13.093,3.012,6.527,13.209,18.107,1.17,20,"CAM-SC_noinfo_separate",3,"TATO",15,18.17
"lam0",0.575,0.138,0.361,0.553,0.889,1.03,114,"CAM-SC_noinfo_separate",3,"TATO",15,0.527
"N",1438.226,330.834,717,1451,1989,1.17,20,"CAM-SC_noinfo_separate",3,"TATO",15,1995.96
"psi",0.719,0.165,0.356,0.725,0.994,1.17,21,"CAM-SC_noinfo_separate",3,"TATO",15,0.998
"sigma",19.381,2.331,15.044,19.089,24.446,1.09,100,"CAM-SC_noinfo_separate",3,"TATO",15,18.363
"D",2.712,2.251,0.373,2.121,9.618,1.92,27,"CAM-SC_noinfo_separate",4,"TATO",15,1.732
"lam0",0.729,0.357,0.305,0.635,1.683,2.02,58,"CAM-SC_noinfo_separate",4,"TATO",15,0.52
"N",297.891,247.305,41,233,1056.525,1.92,27,"CAM-SC_noinfo_separate",4,"TATO",15,190.307
"psi",0.149,0.124,0.021,0.117,0.527,1.92,25,"CAM-SC_noinfo_separate",4,"TATO",15,0.096
"sigma",38.4,10.082,21.083,36.991,62.213,1.9,44,"CAM-SC_noinfo_separate",4,"TATO",15,34.627
"D",16.187,1.854,10.61,16.641,18.116,1.73,31,"CAM-SC_noinfo_separate",5,"TATO",15,17.811
"lam0",0.743,0.164,0.461,0.724,1.086,1.11,65,"CAM-SC_noinfo_separate",5,"TATO",15,0.673
"N",1778.107,203.629,1165.475,1828,1990,1.73,31,"CAM-SC_noinfo_separate",5,"TATO",15,1956.573
"psi",0.889,0.102,0.582,0.915,0.994,1.73,31,"CAM-SC_noinfo_separate",5,"TATO",15,0.976
"sigma",21.841,2.506,17.371,21.712,27.483,1.09,58,"CAM-SC_noinfo_separate",5,"TATO",15,21.542
"D",4.464,2.645,0.3,4.042,10.105,1.65,21,"CAM-SC_noinfo_separate",6,"TATO",15,0.329
"lam0",0.526,0.212,0.15,0.509,0.962,1.41,79,"CAM-SC_noinfo_separate",6,"TATO",15,0.517
"N",490.424,290.576,33,444,1110,1.65,21,"CAM-SC_noinfo_separate",6,"TATO",15,36.13
"psi",0.246,0.145,0.016,0.222,0.556,1.65,24,"CAM-SC_noinfo_separate",6,"TATO",15,0.203
"sigma",35.237,19.478,18.077,27.539,93.168,1.76,22,"CAM-SC_noinfo_separate",6,"TATO",15,22.178
"D",14.612,2.547,9.422,15.303,18.079,1.05,18,"CAM-SC_noinfo_separate",7,"TATO",15,18.125
"lam0",1.092,0.224,0.743,1.067,1.623,1.29,55,"CAM-SC_noinfo_separate",7,"TATO",15,0.98
"N",1605.156,279.752,1035,1681,1986,1.05,18,"CAM-SC_noinfo_separate",7,"TATO",15,1991.042
"psi",0.802,0.14,0.518,0.84,0.993,1.05,18,"CAM-SC_noinfo_separate",7,"TATO",15,0.995
"sigma",21.18,2.028,17.542,21.118,25.256,1.21,84,"CAM-SC_noinfo_separate",7,"TATO",15,20.776
"D",12.621,2.479,7.774,12.59,17.369,1.11,32,"CAM-SC_noinfo_separate",8,"TATO",15,10.879
"lam0",0.4,0.124,0.203,0.387,0.664,1.16,39,"CAM-SC_noinfo_separate",8,"TATO",15,0.302
"N",1386.396,272.286,854,1383,1908,1.11,32,"CAM-SC_noinfo_separate",8,"TATO",15,1195.045
"psi",0.693,0.136,0.428,0.692,0.953,1.11,31,"CAM-SC_noinfo_separate",8,"TATO",15,0.609
"sigma",32.148,4.943,24.106,31.474,43.315,1.22,32,"CAM-SC_noinfo_separate",8,"TATO",15,30.496
"D",7.816,4.549,1.62,6.345,17.078,2.45,20,"CAM-SC_noinfo_separate",1,"TATO",60,4.172
"lam0",0.251,0.119,0.071,0.234,0.571,1.12,61,"CAM-SC_noinfo_separate",1,"TATO",60,0.236
"N",858.535,499.687,178,697,1876,2.45,20,"CAM-SC_noinfo_separate",1,"TATO",60,458.254
"psi",0.43,0.25,0.088,0.349,0.938,2.45,20,"CAM-SC_noinfo_separate",1,"TATO",60,0.22
"sigma",33.693,8.844,20.736,32.38,53.981,1.84,44,"CAM-SC_noinfo_separate",1,"TATO",60,31.737
"D",8.934,5.105,1.42,8.448,17.406,3.81,10,"CAM-SC_noinfo_separate",2,"TATO",60,5.033
"lam0",0.116,0.063,0.033,0.102,0.267,1.17,24,"CAM-SC_noinfo_separate",2,"TATO",60,0.068
"N",981.393,560.767,156,928,1912,3.81,10,"CAM-SC_noinfo_separate",2,"TATO",60,552.902
"psi",0.491,0.28,0.078,0.466,0.956,3.82,11,"CAM-SC_noinfo_separate",2,"TATO",60,0.278
"sigma",68.948,38.655,26.868,54.517,179.521,2.63,12,"CAM-SC_noinfo_separate",2,"TATO",60,36.025
"D",12.289,3.315,6.09,12.699,17.123,2.21,18,"CAM-SC_noinfo_separate",3,"TATO",60,15.233
"lam0",0.319,0.11,0.141,0.312,0.547,1.09,59,"CAM-SC_noinfo_separate",3,"TATO",60,0.291
"N",1349.969,364.155,669,1395,1881,2.21,18,"CAM-SC_noinfo_separate",3,"TATO",60,1673.315
"psi",0.675,0.182,0.335,0.697,0.94,2.21,19,"CAM-SC_noinfo_separate",3,"TATO",60,0.831
"sigma",24.051,5.969,16.233,22.358,38.495,1.65,43,"CAM-SC_noinfo_separate",3,"TATO",60,20.758
"D",3.408,2.965,0.31,2.321,10.287,1.18,14,"CAM-SC_noinfo_separate",4,"TATO",60,0.436
"lam0",0.423,0.262,0.152,0.333,1.141,1.02,54,"CAM-SC_noinfo_separate",4,"TATO",60,0.271
"N",374.326,325.739,34,255,1130,1.18,14,"CAM-SC_noinfo_separate",4,"TATO",60,47.88
"psi",0.188,0.163,0.017,0.128,0.567,1.18,14,"CAM-SC_noinfo_separate",4,"TATO",60,0.022
"sigma",43.402,13.581,23.187,42.064,73.009,1.03,40,"CAM-SC_noinfo_separate",4,"TATO",60,27.605
"D",14.755,2.822,7.929,15.448,18.107,1.98,18,"CAM-SC_noinfo_separate",5,"TATO",60,18.024
"lam0",0.289,0.126,0.106,0.273,0.548,2.24,28,"CAM-SC_noinfo_separate",5,"TATO",60,0.156
"N",1620.83,310.008,871,1697,1989,1.98,18,"CAM-SC_noinfo_separate",5,"TATO",60,1979.966
"psi",0.81,0.155,0.434,0.848,0.994,1.99,18,"CAM-SC_noinfo_separate",5,"TATO",60,0.99
"sigma",31.308,6.703,21.509,30.121,45.929,1.62,26,"CAM-SC_noinfo_separate",5,"TATO",60,27.344
"D",4.368,4.458,0.036,2.594,13.655,2.89,16,"CAM-SC_noinfo_separate",6,"TATO",60,0.081
"lam0",0.419,0.401,0.086,0.248,1.552,1.88,32,"CAM-SC_noinfo_separate",6,"TATO",60,0.194
"N",479.849,489.665,4,285,1500,2.89,16,"CAM-SC_noinfo_separate",6,"TATO",60,8.863
"psi",0.24,0.245,0.002,0.144,0.75,2.88,16,"CAM-SC_noinfo_separate",6,"TATO",60,0.005
"sigma",70.665,49.559,17.482,49.898,169.227,2.8,17,"CAM-SC_noinfo_separate",6,"TATO",60,22.196
"D",12.182,3.818,3.514,12.663,17.797,1.41,14,"CAM-SC_noinfo_separate",7,"TATO",60,12.911
"lam0",0.035,0.023,0.008,0.029,0.098,2.36,19,"CAM-SC_noinfo_separate",7,"TATO",60,0.017
"N",1338.16,419.429,386,1391,1955,1.41,14,"CAM-SC_noinfo_separate",7,"TATO",60,1418.285
"psi",0.669,0.21,0.192,0.696,0.977,1.41,15,"CAM-SC_noinfo_separate",7,"TATO",60,0.715
"sigma",103.539,33.485,46.829,102.905,182.431,1.76,16,"CAM-SC_noinfo_separate",7,"TATO",60,111.321
"D",10.775,3.852,4.078,11.215,17.315,1.22,11,"CAM-SC_noinfo_separate",8,"TATO",60,13.542
"lam0",0.154,0.067,0.063,0.137,0.316,1.37,32,"CAM-SC_noinfo_separate",8,"TATO",60,0.096
"N",1183.609,423.128,448,1232,1902,1.22,11,"CAM-SC_noinfo_separate",8,"TATO",60,1487.565
"psi",0.592,0.211,0.223,0.616,0.95,1.22,11,"CAM-SC_noinfo_separate",8,"TATO",60,0.75
"sigma",47.222,9.042,32.699,45.761,67.571,1.09,33,"CAM-SC_noinfo_separate",8,"TATO",60,44.511
"D",9.432,5.546,0.847,9.932,17.588,3.23,12,"CAM-SC_noinfo_separate",1,"TATO",1440,3.668
"lam0",0.033,0.025,0.004,0.026,0.093,1.8,46,"CAM-SC_noinfo_separate",1,"TATO",1440,0.009
"N",1036.123,609.282,93,1091,1932,3.23,12,"CAM-SC_noinfo_separate",1,"TATO",1440,402.922
"psi",0.518,0.304,0.047,0.546,0.966,3.24,12,"CAM-SC_noinfo_separate",1,"TATO",1440,0.202
"sigma",81.046,44.943,27.405,65.928,182.32,1.69,30,"CAM-SC_noinfo_separate",1,"TATO",1440,43.84
"D",13.293,3.686,5.781,13.928,17.952,1.27,10,"CAM-SC_noinfo_separate",2,"TATO",1440,17.326
"lam0",0.018,0.015,0.002,0.015,0.057,2.14,31,"CAM-SC_noinfo_separate",2,"TATO",1440,0.003
"N",1460.266,404.927,635,1530,1972,1.27,10,"CAM-SC_noinfo_separate",2,"TATO",1440,1903.252
"psi",0.73,0.202,0.316,0.765,0.987,1.27,10,"CAM-SC_noinfo_separate",2,"TATO",1440,0.952
"sigma",92.922,44.49,37.13,79.29,193.7,2.28,17,"CAM-SC_noinfo_separate",2,"TATO",1440,59.578
"D",9.894,5.352,0.938,11.061,17.579,2.85,12,"CAM-SC_noinfo_separate",3,"TATO",1440,14.187
"lam0",0.019,0.017,0.002,0.013,0.061,1.87,28,"CAM-SC_noinfo_separate",3,"TATO",1440,0.01
"N",1086.88,587.909,103,1215,1931,2.85,12,"CAM-SC_noinfo_separate",3,"TATO",1440,1558.483
"psi",0.544,0.294,0.05,0.607,0.965,2.86,12,"CAM-SC_noinfo_separate",3,"TATO",1440,0.78
"sigma",108.196,40.991,50.614,98.37,194.228,1.57,36,"CAM-SC_noinfo_separate",3,"TATO",1440,71.237
"D",4.068,4.322,0.036,2.294,13.273,2.05,15,"CAM-SC_noinfo_separate",4,"TATO",1440,0.067
"lam0",0.183,0.227,0.019,0.09,0.904,2.87,36,"CAM-SC_noinfo_separate",4,"TATO",1440,0.053
"N",446.832,474.727,4,252,1458,2.05,15,"CAM-SC_noinfo_separate",4,"TATO",1440,7.37
"psi",0.224,0.237,0.002,0.126,0.727,2.06,16,"CAM-SC_noinfo_separate",4,"TATO",1440,0.005
"sigma",76.217,38.947,29.821,64.643,174.013,3.18,33,"CAM-SC_noinfo_separate",4,"TATO",1440,54.063
"D",8.496,5.756,0.692,8.289,17.788,2.39,22,"CAM-SC_noinfo_separate",5,"TATO",1440,0.892
"lam0",0.03,0.028,0.004,0.02,0.107,2.2,35,"CAM-SC_noinfo_separate",5,"TATO",1440,0.011
"N",933.326,632.312,76,910.5,1954,2.39,22,"CAM-SC_noinfo_separate",5,"TATO",1440,98.015
"psi",0.467,0.316,0.038,0.454,0.977,2.39,24,"CAM-SC_noinfo_separate",5,"TATO",1440,0.061
"sigma",123.951,40.774,61.141,118.059,195.984,1.51,23,"CAM-SC_noinfo_separate",5,"TATO",1440,97.17
"D",4.649,5.332,0.082,2.303,17.333,5.31,19,"CAM-SC_noinfo_separate",6,"TATO",1440,0.14
"lam0",0.147,0.154,0.017,0.088,0.579,3.4,70,"CAM-SC_noinfo_separate",6,"TATO",1440,0.049
"N",510.725,585.678,9,253,1904,5.31,19,"CAM-SC_noinfo_separate",6,"TATO",1440,15.357
"psi",0.256,0.293,0.005,0.127,0.952,5.32,20,"CAM-SC_noinfo_separate",6,"TATO",1440,0.008
"sigma",77.354,39.907,29.231,66.142,176.488,2.73,36,"CAM-SC_noinfo_separate",6,"TATO",1440,52.266
"D",6.828,5.776,0.218,6.163,16.577,1.62,8,"CAM-SC_noinfo_separate",7,"TATO",1440,0.391
"lam0",0.055,0.066,0.004,0.025,0.244,2.92,18,"CAM-SC_noinfo_separate",7,"TATO",1440,0.013
"N",750.057,634.538,24,677,1821,1.62,8,"CAM-SC_noinfo_separate",7,"TATO",1440,42.919
