"Cnum","Rlet","RC","posy","posx","ttype","cam","PEMAgrid"
7,"Q","Q7",150,180,"sherman",0,0
7,"V","V7",100,180,"sherman",1,1
7,"R","R7",140,180,"sherman",1,1
7,"U","U7",110,180,"sherman",0,0
7,"P","P7",160,180,"sherman",1,1
7,"W","W7",90,180,"sherman",0,0
7,"Y","Y7",70,180,"sherman",0,0
7,"X","X7",80,180,"sherman",1,1
7,"T","T7",120,180,"sherman",1,1
7,"S","S7",130,180,"sherman",0,0
8,"U","U8",110,190,"sherman",0,0
8,"Q","Q8",150,190,"sherman",0,0
8,"T","T8",120,190,"sherman",0,0
8,"S","S8",130,190,"sherman",0,0
8,"W","W8",90,190,"sherman",0,0
8,"P","P8",160,190,"sherman",0,0
8,"X","X8",80,190,"sherman",0,0
8,"V","V8",100,190,"sherman",0,0
8,"R","R8",140,190,"sherman",0,0
8,"Y","Y8",70,190,"sherman",0,0
9,"Q","Q9",150,200,"sherman",0,0
9,"P","P9",160,200,"sherman",0,0
9,"T","T9",120,200,"sherman",0,0
9,"S","S9",130,200,"sherman",0,0
9,"W","W9",90,200,"sherman",0,0
9,"X","X9",80,200,"sherman",0,0
9,"R","R9",140,200,"sherman",1,1
9,"V","V9",100,200,"sherman",1,1
9,"U","U9",110,200,"sherman",0,0
9,"Y","Y9",70,200,"sherman",0,0
10,"Q","Q10",150,210,"sherman",0,0
10,"P","P10",160,210,"sherman",0,0
10,"U","U10",110,210,"sherman",0,0
10,"S","S10",130,210,"sherman",0,0
10,"T","T10",120,210,"sherman",0,0
10,"V","V10",100,210,"sherman",0,0
10,"R","R10",140,210,"sherman",0,0
10,"W","W10",90,210,"sherman",0,0
10,"X","X10",80,210,"sherman",0,0
10,"Y","Y10",70,210,"sherman",0,0
