"Directory","1","2","3","4","5","6","7","8"
"6D4",13,4,0,0,0,0,0,2
"6D5",5,7,29,76,30,21,5,12
"6D6",24,5,3,10,13,4,2,4
"6E4",27,13,18,7,2,2,2,2
"6E5",9,15,1,0,3,5,9,5
"6E6",29,18,0,1,0,1,2,10
"6F4",14,7,0,1,0,0,0,0
"6F5",21,20,3,1,2,1,5,5
"6F6",34,37,8,1,2,8,0,2
"6P3",14,64,12,5,3,5,2,1
"6P7",2,7,2,19,16,11,2,0
"6R1",7,50,12,1,0,1,2,0
"6R3",0,5,3,0,0,3,1,1
"6R5",15,4,0,6,4,2,1,3
"6R7",12,1,18,4,7,2,2,2
"6R9",0,2,2,0,1,1,0,0
"6T3",6,14,0,1,0,1,0,5
"6T7",15,7,1,0,1,15,7,1
"6V1",13,4,0,0,0,0,7,2
"6V3",0,0,0,0,0,0,1,0
"6V5",3,4,0,11,5,6,4,4
"6V7",5,5,0,0,0,4,1,0
"6V9",5,2,24,3,5,2,2,0
"6X3",4,1,1,5,6,3,1,2
"6X7",70,8,1,0,0,1,2,4
