"Directory","1","2","3","4","5","6","7","8"
"3D4",2,1,1,3,3,4,2,4
"3D5",0,0,0,0,0,0,0,0
"3D6",1,4,3,4,2,4,4,1
"3E4",4,2,3,2,1,0,0,0
"3E5",1,5,3,4,2,3,5,2
"3E6",3,3,1,6,2,2,2,3
"3F4",1,2,1,4,4,1,2,2
"3F5",1,4,2,2,4,3,3,1
"3F6",4,4,4,4,3,2,1,2
"3P3",1,4,1,3,3,4,1,4
"3P7",4,4,2,3,3,1,2,1
"3R1",3,2,1,3,2,4,1,6
"3R3",0,3,3,2,3,4,2,3
"3R5",0,0,0,0,0,0,0,0
"3R7",0,0,1,3,1,3,1,3
"3R9",2,2,4,3,2,3,1,0
"3T3",0,0,0,0,0,0,0,0
"3T7",2,1,3,3,3,2,2,1
"3V1",3,0,0,2,3,0,0,1
"3V3",3,2,2,3,4,4,2,0
"3V5",1,4,2,4,4,4,3,3
"3V7",3,1,2,2,3,2,4,2
"3V9",5,5,5,5,3,3,3,2
"3X3",4,4,6,3,3,1,4,2
"3X7",1,4,6,3,2,3,4,4
