"Directory","1","2","3","4","5","6","7","8"
"7D4",3,12,7,10,4,4,1,1
"7D5",0,8,5,3,7,3,2,2
"7D6",4,8,8,6,5,0,0,0
"7E4",5,2,5,4,0,0,0,0
"7E5",7,7,11,7,6,0,0,0
"7E6",7,13,8,10,3,5,2,5
"7F4",10,11,9,9,6,4,0,1
"7F5",0,0,0,0,0,0,0,0
"7F6",3,6,8,6,1,0,1,1
"7P3",2,9,6,5,1,0,1,0
"7P7",2,3,1,0,0,0,0,0
"7R1",0,13,2,7,9,4,0,1
"7R3",2,11,7,5,5,3,1,0
"7R5",9,0,11,10,4,4,0,0
"7R7",1,3,9,8,1,3,0,0
"7R9",11,14,6,8,8,5,1,0
"7T3",11,13,7,7,4,2,4,0
"7T7",2,9,6,7,6,2,0,0
"7V1",8,11,8,9,7,1,1,1
"7V3",6,6,7,5,5,1,0,0
"7V5",7,11,9,7,4,0,0,1
"7V7",9,9,7,7,4,2,1,1
"7V9",6,17,8,5,5,3,1,1
"7X3",2,11,8,2,5,2,2,2
"7X7",15,8,10,10,0,2,0,1
