"Directory","1","2","3","4","5","6","7","8"
"3D4",35,5,82,46,23,18,11,19
"3D5",0,0,0,0,0,0,0,0
"3D6",2,49,118,55,19,8,7,2
"3E4",52,86,3,10,10,0,0,0
"3E5",8,15,6,65,41,14,8,5
"3E6",9,5,1,12,46,4,3,3
"3F4",1,2,1,8,14,5,4,2
"3F5",6,8,3,36,23,19,6,1
"3F6",13,31,11,40,17,6,3,3
"3P3",8,8,6,3,6,5,2,6
"3P7",22,47,7,3,14,1,3,1
"3R1",90,56,11,4,6,6,3,13
"3R3",0,7,25,32,33,7,7,5
"3R5",0,0,0,0,0,0,0,0
"3R7",0,0,1,43,50,6,2,9
"3R9",4,2,8,11,3,3,1,0
"3T3",0,0,0,0,0,0,0,0
"3T7",4,1,10,34,21,3,3,1
"3V1",8,0,0,3,3,0,0,1
"3V3",9,4,7,9,7,7,6,0
"3V5",5,14,2,27,21,7,6,3
"3V7",5,1,4,48,16,3,6,3
"3V9",25,31,18,26,62,11,17,9
"3X3",31,10,8,17,26,16,7,7
"3X7",19,11,18,85,20,13,15,4
