"Directory","1","2","3","4","5","6","7","8","9","10"
"5A1",7,4,0,5,1,3,0,1,2,0
"5A2",8,2,1,4,2,2,2,3,1,0
"5A3",7,5,2,4,2,7,3,0,2,0
"5A4",8,6,0,6,3,4,0,2,0,0
"5A5",6,0,0,0,0,0,0,0,0,0
"5A6",3,9,3,5,7,3,8,6,2,2
"5A7",6,8,1,2,4,5,3,2,0,0
"5A8",6,5,1,0,2,1,2,1,1,1
"5B1",8,2,1,4,1,2,0,0,1,0
"5B2",7,5,4,1,3,1,1,0,0,0
"5B3",7,4,2,4,9,5,4,5,1,0
"5B4",5,4,0,3,0,0,0,1,0,0
"5B5",6,1,0,1,3,3,2,6,2,3
"5B6",6,2,3,2,2,4,5,3,3,1
"5B7",6,3,0,0,1,1,1,1,3,0
"5B8",5,6,3,3,6,5,2,2,4,1
"5C1",9,6,3,1,0,1,1,3,0,1
"5C2",7,3,1,3,1,3,1,1,0,2
"5C3",9,2,1,1,0,1,2,1,1,1
"5C4",6,3,1,3,4,1,3,3,2,2
"5C5",4,5,2,2,2,1,3,0,2,0
"5C6",6,2,3,0,0,0,1,1,0,0
"5C7",3,4,4,1,2,1,4,1,3,1
"5C8",6,5,3,1,3,4,1,1,1,1
"5D1",4,7,9,4,3,0,2,2,0,1
"5D2",4,5,4,7,6,4,1,4,3,2
"5D3",7,5,6,8,3,1,3,3,3,1
"5D4",6,11,6,6,1,1,1,1,0,1
"5D5",2,13,5,2,0,0,3,1,1,0
"5D6",6,10,4,2,2,2,4,3,4,3
"5D7",4,7,3,2,5,2,3,1,2,1
"5D8",4,8,7,3,5,1,3,2,0,0
"5E1",4,7,4,1,3,0,2,0,0,0
"5E2",3,5,3,3,3,1,3,0,0,0
"5E3",2,7,6,4,3,5,5,2,0,0
"5E4",3,4,4,3,5,1,1,1,0,0
"5E5",3,11,9,7,3,3,2,0,0,1
"5E6",2,7,8,5,2,3,5,2,1,2
"5E7",0,9,3,4,4,1,4,0,1,0
"5E8",2,6,2,1,3,6,3,0,3,1
"5F1",1,6,4,1,1,1,2,0,0,0
"5F2",1,9,2,1,2,0,1,0,1,2
"5F3",1,3,2,4,4,3,2,1,1,0
"5F4",2,9,7,3,2,3,2,0,0,0
"5F5",1,4,7,6,4,2,1,2,0,1
"5F6",3,9,6,4,1,3,1,0,1,1
"5F7",0,8,4,5,4,3,0,0,1,0
"5F8",2,9,4,6,3,1,4,3,1,0
"5G1",2,3,1,0,3,2,0,1,0,0
"5G2",4,5,2,2,1,1,1,0,0,0
"5G3",3,6,1,3,2,2,0,0,0,0
"5G4",5,5,2,7,2,2,3,0,1,1
"5G5",2,8,5,6,6,3,1,1,1,0
"5G6",2,5,4,2,3,3,0,1,2,1
"5G7",1,8,4,4,2,6,4,2,4,1
"5G8",4,8,0,4,1,1,2,2,0,0
"5H1",0,8,6,4,0,1,2,5,4,1
"5H2",0,11,8,3,4,4,1,1,2,0
"5H3",0,6,3,4,2,2,2,1,1,1
"5H4",0,2,1,1,1,5,1,1,3,3
"5H5",1,7,7,4,6,1,3,3,0,2
"5H6",0,0,0,0,0,0,0,0,0,0
"5H7",0,0,0,0,0,0,0,0,0,0
"5H8",1,6,2,1,4,1,2,0,1,0
