"Directory","1","2","3","4","5","6","7","8","9"
"5D4",8,20,21,12,2,2,0,1,0
"5D5",12,28,19,4,7,3,3,2,2
"5D6",100,32,29,20,19,18,9,7,3
"5E4",19,216,83,36,25,11,20,5,1
"5E5",9,8,4,4,0,3,7,1,0
"5E6",27,37,28,31,12,7,11,6,2
"5F4",25,44,13,16,11,2,6,2,0
"5F5",9,229,57,26,28,6,0,10,29
"5F6",17,33,18,7,5,5,6,1,1
"5P3",161,41,2,4,4,8,12,2,3
"5P7",52,45,12,12,13,5,6,5,2
"5R1",0,0,0,0,0,0,0,0,0
"5R3",2,22,13,4,5,10,2,4,2
"5R5",5,27,0,0,0,0,0,0,0
"5R7",3,37,8,5,3,3,1,4,3
"5R9",97,20,10,7,3,3,2,1,3
"5T3",22,154,24,30,13,8,3,4,0
"5T7",16,69,10,17,9,8,4,2,4
"5V1",0,0,0,0,0,0,0,0,0
"5V3",75,18,15,12,11,9,5,3,2
"5V5",7,32,22,17,10,5,2,2,3
"5V7",32,16,23,15,10,5,8,3,2
"5V9",49,25,8,9,9,2,0,2,0
"5X3",99,22,16,5,8,5,2,6,4
"5X7",17,12,4,3,2,3,1,0,2
