"Directory","1","2","3","4","5","6","7","8"
"6D4",10,3,0,0,0,0,0,1
"6D5",4,7,7,9,5,7,4,9
"6D6",6,3,2,6,4,3,1,4
"6E4",10,7,5,4,2,1,2,1
"6E5",6,6,1,0,3,3,8,5
"6E6",7,3,0,1,0,1,2,7
"6F4",4,5,0,1,0,0,0,0
"6F5",7,6,2,1,2,1,4,4
"6F6",7,9,6,1,2,7,0,2
"6P3",7,12,5,5,3,4,2,1
"6P7",2,4,2,8,4,6,2,0
"6R1",5,12,3,1,0,1,2,0
"6R3",0,3,3,0,0,3,1,1
"6R5",6,2,0,4,4,2,1,3
"6R7",5,1,3,3,5,2,2,2
"6R9",0,2,2,0,1,1,0,0
"6T3",2,6,0,1,0,1,0,3
"6T7",9,4,1,0,1,6,5,1
"6V1",5,3,0,0,0,0,7,2
"6V3",0,0,0,0,0,0,1,0
"6V5",1,4,0,4,2,6,4,4
"6V7",4,3,0,0,0,4,1,0
"6V9",3,1,6,2,1,2,2,0
"6X3",3,1,1,5,3,3,1,2
"6X7",6,5,1,0,0,1,2,3
