"Directory","1","2","3","4","5","6","7","8","9","10","11"
"1D4",0,1,0,0,0,0,0,0,0,1,0
"1D5",1,7,2,0,0,0,0,1,0,0,0
"1D6",3,2,5,2,1,0,0,0,0,2,0
"1E4",1,1,1,1,0,0,0,0,0,1,1
"1E5",5,5,4,5,1,1,1,1,0,0,0
"1E6",2,4,2,2,1,0,2,2,3,0,0
"1F4",0,0,0,0,0,1,2,1,0,1,1
"1F5",2,2,0,0,0,0,0,1,2,1,0
"1F6",1,1,3,2,0,1,0,1,1,0,0
"1P3",4,3,3,3,1,0,0,2,0,0,0
"1P7",4,2,2,3,1,1,1,2,1,0,0
"1R1",0,0,0,0,0,0,0,0,0,0,0
"1R3",1,2,3,4,1,2,0,2,1,0,1
"1R5",0,0,0,0,0,0,0,0,0,0,0
"1R7",0,0,0,0,0,0,0,0,0,0,0
"1R9",0,0,0,0,0,0,0,0,0,0,0
"1T3",0,1,4,5,1,2,2,2,0,1,0
"1T7",6,4,2,5,4,1,2,2,0,1,1
"1V1",0,0,0,0,0,0,0,0,0,0,0
"1V3",2,3,1,0,0,0,0,0,0,0,0
"1V5",3,6,5,3,1,0,2,2,3,0,0
"1V7",0,0,0,0,0,0,0,0,0,0,0
"1V9",0,0,0,0,0,0,0,0,0,0,0
"1X3",4,0,0,2,1,0,0,0,0,0,2
"1X7",3,1,2,0,0,0,2,1,2,0,1
