"Directory","1","2","3","4","5","6","7","8","9"
"3A1",1,1,1,1,0,0,0,0,0
"3A2",1,1,1,1,1,1,1,0,0
"3A3",1,1,1,1,0,1,1,1,0
"3A4",1,1,1,1,0,1,0,0,0
"3A5",1,1,1,1,0,1,0,1,0
"3A6",1,1,1,0,0,0,0,0,0
"3A7",1,0,0,0,0,0,0,0,0
"3A8",1,1,1,0,1,0,0,0,0
"3B1",1,1,1,0,0,0,0,0,0
"3B2",1,1,1,1,1,1,1,0,0
"3B3",1,1,1,1,1,1,0,0,0
"3B4",1,1,1,0,0,0,0,0,0
"3B5",0,1,0,0,0,0,0,0,0
"3B6",1,1,1,1,1,0,0,0,0
"3B7",1,1,0,0,0,0,0,0,0
"3B8",1,1,1,1,0,1,1,1,0
"3C1",1,1,0,0,0,0,0,0,0
"3C2",1,1,1,0,0,0,1,0,0
"3C3",1,1,1,1,1,0,1,1,0
"3C4",1,1,1,1,1,0,1,1,0
"3C5",0,0,1,1,0,0,0,0,0
"3C6",1,1,1,1,1,0,0,0,0
"3C7",1,1,1,1,0,1,0,1,0
"3C8",1,1,1,1,0,0,0,0,0
"3D1",1,1,1,1,0,1,0,0,0
"3D2",1,1,1,1,1,0,0,0,0
"3D3",1,1,1,1,1,0,1,0,0
"3D4",1,1,1,1,0,0,0,0,0
"3D5",0,0,0,0,0,0,0,0,0
"3D6",1,1,1,1,0,0,0,0,0
"3D7",1,1,1,1,1,0,0,0,0
"3D8",1,1,0,1,1,1,0,0,0
"3E1",1,1,1,0,0,0,0,0,0
"3E2",0,0,0,0,0,0,0,0,0
"3E3",1,1,1,1,1,0,1,0,0
"3E4",1,1,1,1,0,0,0,0,0
"3E5",1,1,1,1,1,1,0,0,0
"3E6",1,1,1,1,0,0,0,0,0
"3E7",1,0,1,1,1,0,0,0,0
"3E8",1,1,1,1,0,0,0,1,0
"3F1",0,1,1,1,1,1,0,0,0
"3F2",1,1,1,1,1,1,1,0,1
"3F3",0,1,1,0,1,0,0,0,0
"3F4",0,1,1,1,1,1,0,0,0
"3F5",0,1,1,1,1,1,1,0,0
"3F6",0,1,1,1,0,1,0,0,0
"3F7",1,1,1,1,1,0,1,1,0
"3F8",0,1,0,1,1,0,0,0,0
"3G1",0,1,1,0,0,0,0,0,0
"3G2",0,1,1,1,1,0,0,0,0
"3G3",1,1,1,1,1,0,0,0,0
"3G4",1,1,1,1,1,1,1,0,0
"3G5",1,1,1,0,1,1,0,0,0
"3G6",0,1,0,1,0,1,0,1,1
"3G7",0,1,1,1,1,0,1,0,0
"3G8",1,1,1,0,0,0,0,0,0
"3H1",0,1,1,1,1,0,1,0,0
"3H2",1,1,1,1,1,1,0,0,0
"3H3",1,1,1,1,1,1,0,1,0
"3H4",0,1,0,0,0,0,0,0,0
"3H5",1,1,1,1,1,1,1,1,1
"3H6",1,1,1,0,1,1,0,0,0
"3H7",0,1,1,0,1,0,0,0,0
"3H8",1,1,1,0,1,0,1,0,0
