"Directory","1","2","3","4","5","6","7","8","9"
"5D4",1,1,1,1,1,1,0,1,0
"5D5",1,1,1,1,1,1,1,1,1
"5D6",1,1,1,1,1,1,1,1,1
"5E4",1,1,1,1,1,1,1,1,1
"5E5",1,1,1,1,0,1,1,1,0
"5E6",1,1,1,1,1,1,1,1,1
"5F4",1,1,1,1,1,1,1,1,0
"5F5",1,1,1,1,1,1,0,1,1
"5F6",1,1,1,1,1,1,1,1,1
"5P3",1,1,1,1,1,1,1,1,1
"5P7",1,1,1,1,1,1,1,1,1
"5R1",0,0,0,0,0,0,0,0,0
"5R3",1,1,1,1,1,1,1,1,1
"5R5",1,1,0,0,0,0,0,0,0
"5R7",1,1,1,1,1,1,1,1,1
"5R9",1,1,1,1,1,1,1,1,1
"5T3",1,1,1,1,1,1,1,1,0
"5T7",1,1,1,1,1,1,1,1,1
"5V1",0,0,0,0,0,0,0,0,0
"5V3",1,1,1,1,1,1,1,1,1
"5V5",1,1,1,1,1,1,1,1,1
"5V7",1,1,1,1,1,1,1,1,1
"5V9",1,1,1,1,1,1,0,1,0
"5X3",1,1,1,1,1,1,1,1,1
"5X7",1,1,1,1,1,1,1,0,1
