"Directory","1","2","3","4","5","6","7","8"
"4D4",4,2,4,2,1,2,0,0
"4D5",2,1,1,1,3,5,4,4
"4D6",3,3,2,3,1,1,0,0
"4E4",6,9,6,15,13,8,9,1
"4E5",0,2,8,7,10,11,4,2
"4E6",10,9,9,11,12,9,7,1
"4F4",10,4,3,3,8,4,2,1
"4F5",2,10,6,4,8,8,1,0
"4F6",8,6,4,11,11,8,5,3
"4P3",2,4,3,8,3,5,3,2
"4P7",0,0,3,5,6,5,2,3
"4R1",7,2,0,8,4,3,5,2
"4R3",10,1,0,10,9,3,2,2
"4R5",1,4,6,9,8,4,3,2
"4R7",0,2,9,3,7,6,7,3
"4R9",2,3,5,5,5,3,1,1
"4T3",5,6,5,6,3,3,0,0
"4T7",7,0,0,5,9,5,0,2
"4V1",0,1,5,8,6,4,0,0
"4V3",1,2,3,6,12,4,1,1
"4V5",0,1,0,5,7,5,1,1
"4V7",0,0,0,0,0,0,0,0
"4V9",4,2,8,6,10,10,8,3
"4X3",7,5,5,9,6,5,3,0
"4X7",1,2,2,3,6,2,1,1
