"Directory","1","2","3","4","5","6","7","8"
"8D4",59,13,15,3,4,6,20,5
"8D5",91,40,25,2,10,13,10,5
"8D6",166,17,16,5,9,9,10,2
"8E4",213,23,19,2,12,9,8,2
"8E5",21,60,23,3,11,7,1,1
"8E6",216,18,11,0,6,8,5,3
"8F4",193,36,15,3,6,6,3,4
"8F5",61,6,14,2,7,6,4,5
"8F6",246,37,13,4,6,10,9,2
"8P3",126,15,15,1,7,12,4,2
"8P7",88,24,18,0,9,6,6,2
"8R1",98,14,18,4,6,13,7,10
"8R3",142,21,7,2,10,10,11,5
"8R5",120,22,17,2,14,12,4,0
"8R7",78,19,10,1,2,7,0,1
"8R9",145,10,3,0,7,9,13,1
"8T3",0,0,0,0,0,0,0,0
"8T7",142,36,24,5,3,8,4,1
"8V1",158,9,5,0,5,9,6,1
"8V3",41,23,12,2,6,7,3,0
"8V5",73,14,2,0,1,0,2,0
"8V7",72,15,12,3,12,7,8,2
"8V9",86,5,6,0,0,0,0,0
"8X3",64,7,3,0,2,2,3,5
"8X7",191,19,9,2,8,16,10,1
