"Directory","1","2","3","4","5","6","7","8"
"2D4",7,12,8,2,4,0,1,0
"2D5",1,6,16,7,5,0,2,1
"2D6",13,13,10,4,4,1,3,1
"2E4",11,12,6,7,10,3,3,1
"2E5",12,14,7,5,3,3,1,1
"2E6",12,19,12,5,1,2,0,0
"2F4",8,11,9,7,4,3,2,0
"2F5",17,16,10,7,6,3,0,0
"2F6",11,12,10,7,3,2,0,0
"2P3",1,4,3,3,0,0,0,0
"2P7",0,0,0,0,0,0,0,0
"2R1",0,0,0,0,0,0,0,0
"2R3",0,0,0,0,0,0,0,0
"2R5",2,8,10,8,1,1,1,0
"2R7",0,0,0,0,0,0,0,0
"2R9",15,9,8,6,4,2,1,0
"2T3",1,5,10,4,3,1,0,0
"2T7",0,1,1,1,0,0,0,0
"2V1",2,3,1,1,0,0,0,0
"2V3",5,8,7,4,0,0,1,0
"2V5",5,8,5,7,2,3,0,0
"2V7",9,11,8,3,1,0,0,0
"2V9",6,12,13,6,5,1,0,0
"2X3",0,0,0,2,0,2,0,0
"2X7",0,0,0,0,0,0,0,0
