"Directory","1","2","3","4","5","6","7","8"
"6A1",0,0,0,0,0,0,0,0
"6A2",1,1,1,1,0,0,0,0
"6A3",0,0,0,1,1,0,0,1
"6A4",0,0,0,0,0,1,0,0
"6A5",0,0,0,0,0,0,0,0
"6A6",0,0,0,0,0,0,0,1
"6A7",1,1,1,0,0,1,1,0
"6A8",0,1,0,0,0,0,0,0
"6B1",0,0,0,0,0,0,1,1
"6B2",0,0,0,0,0,1,0,0
"6B3",0,1,0,0,0,1,1,0
"6B4",0,0,0,1,0,0,0,1
"6B5",0,0,0,0,0,0,0,0
"6B6",0,0,0,0,0,1,0,1
"6B7",1,1,1,1,0,1,0,0
"6B8",1,0,0,0,0,0,0,0
"6C1",0,0,0,0,0,0,0,0
"6C2",0,0,0,0,0,1,0,0
"6C3",0,0,1,0,0,0,0,1
"6C4",0,0,1,1,0,0,0,1
"6C5",0,0,0,0,0,0,0,0
"6C6",1,1,0,0,0,0,0,0
"6C7",1,0,0,0,0,0,0,1
"6C8",0,0,0,0,0,0,0,0
"6D1",0,0,0,0,0,0,0,0
"6D2",0,0,0,0,0,0,0,0
"6D3",0,0,0,0,1,0,0,1
"6D4",1,0,0,0,0,0,0,0
"6D5",0,0,0,1,0,0,0,0
"6D6",0,0,1,1,1,1,0,1
"6D7",0,0,0,0,0,0,0,1
"6D8",0,0,0,0,0,0,0,0
"6E1",0,0,0,0,0,0,0,0
"6E2",1,0,1,0,0,0,0,0
"6E3",0,0,0,0,0,0,0,0
"6E4",0,1,1,1,0,0,0,0
"6E5",1,1,1,0,0,1,0,0
"6E6",1,0,0,0,0,0,0,1
"6E7",0,0,0,0,0,0,0,0
"6E8",0,0,0,0,0,0,0,1
"6F1",0,0,0,0,0,0,0,0
"6F2",0,0,0,0,0,0,0,0
"6F3",0,0,0,0,0,0,0,0
"6F4",0,0,0,0,0,0,0,0
"6F5",1,1,1,0,0,0,1,0
"6F6",0,1,0,0,0,0,0,0
"6F7",0,0,0,0,0,0,0,0
"6F8",0,0,0,0,0,0,0,0
"6G1",0,0,0,0,0,0,0,0
"6G2",0,0,0,0,0,0,0,0
"6G3",1,0,1,0,0,1,1,1
"6G4",0,0,0,0,0,0,0,0
"6G5",0,0,0,0,0,0,0,0
"6G6",0,0,0,0,0,0,0,0
"6G7",1,1,0,0,0,0,0,0
"6G8",0,1,0,0,0,1,1,1
"6H1",0,0,1,0,1,0,0,1
"6H2",0,0,0,0,0,0,0,0
"6H3",0,0,1,0,0,0,1,0
"6H4",0,0,0,0,0,0,0,0
"6H5",0,0,0,0,0,0,0,0
"6H6",0,1,1,0,1,0,1,1
"6H7",1,0,0,0,0,0,0,0
"6H8",0,0,1,0,0,0,0,0
