"Directory","1","2","3","4","5","6","7","8"
"4D4",4,2,6,2,1,2,0,0
"4D5",2,1,1,1,3,5,6,7
"4D6",9,3,2,3,1,1,0,0
"4E4",50,10,7,62,52,46,15,3
"4E5",0,2,24,13,42,29,7,2
"4E6",40,26,12,15,21,27,8,3
"4F4",32,7,4,4,15,8,3,2
"4F5",3,14,8,5,16,19,2,0
"4F6",16,13,7,53,29,16,10,5
"4P3",2,4,3,18,4,8,4,2
"4P7",0,0,4,6,6,6,3,3
"4R1",10,2,0,10,4,4,5,2
"4R3",41,1,0,10,11,6,2,2
"4R5",5,4,14,15,18,11,3,2
"4R7",0,2,16,6,18,19,9,4
"4R9",9,3,7,7,7,3,1,1
"4T3",32,7,5,8,3,5,0,0
"4T7",9,0,0,5,15,5,0,2
"4V1",0,1,5,46,16,12,0,0
"4V3",2,2,3,10,31,8,1,1
"4V5",0,1,0,10,17,13,1,1
"4V7",0,0,0,0,0,0,0,0
"4V9",5,2,9,7,28,35,9,5
"4X3",20,6,7,37,8,9,4,0
"4X7",1,2,2,5,8,2,1,1
