"Directory","1","2","3","4","5","6","7","8","9"
"2A1",3,3,1,1,1,0,0,1,0
"2A2",5,3,3,4,1,1,1,0,0
"2A3",4,4,2,0,2,0,0,0,0
"2A4",3,2,2,1,0,0,1,0,0
"2A5",4,3,3,2,0,2,1,0,0
"2A6",4,2,3,1,1,2,0,1,0
"2A7",4,4,5,1,2,1,0,1,0
"2A8",4,4,6,2,1,1,0,0,0
"2B1",4,4,1,2,2,0,1,0,0
"2B2",3,4,1,0,0,0,0,0,0
"2B3",3,5,1,1,0,0,0,1,0
"2B4",4,3,2,1,1,0,0,0,0
"2B5",5,4,5,1,0,0,0,0,0
"2B6",5,4,3,1,0,2,1,3,0
"2B7",3,0,0,0,0,0,0,0,0
"2B8",1,1,0,1,0,0,0,0,0
"2C1",4,3,1,0,1,0,0,1,0
"2C2",4,4,2,1,2,0,1,0,0
"2C3",2,5,5,0,0,1,1,0,0
"2C4",4,3,3,1,0,0,0,0,0
"2C5",3,2,3,2,1,0,3,0,0
"2C6",4,5,1,1,1,0,3,1,0
"2C7",3,4,2,2,1,0,1,0,0
"2C8",5,4,2,3,0,3,1,0,0
"2D1",4,1,2,1,0,0,0,0,0
"2D2",3,4,4,2,0,0,1,0,0
"2D3",2,5,2,1,0,0,0,0,0
"2D4",5,6,2,2,0,0,1,0,0
"2D5",3,4,2,1,0,0,2,0,0
"2D6",3,4,2,0,1,1,0,0,0
"2D7",1,3,4,2,0,2,0,0,0
"2D8",3,4,2,1,0,1,3,0,0
"2E1",2,4,1,1,1,1,0,0,0
"2E2",1,5,1,0,1,0,0,0,0
"2E3",5,4,4,2,0,1,0,1,0
"2E4",5,3,1,1,0,0,0,0,0
"2E5",3,2,2,0,0,0,1,0,0
"2E6",4,3,1,1,2,0,0,1,0
"2E7",6,3,2,0,0,2,1,1,0
"2E8",5,4,0,0,1,0,0,0,0
"2F1",0,0,0,0,0,0,0,0,0
"2F2",2,4,3,2,0,0,0,0,0
"2F3",6,4,5,2,0,1,2,0,0
"2F4",3,2,0,1,0,1,0,0,0
"2F5",4,2,1,0,1,1,0,0,0
"2F6",4,2,1,1,0,0,0,1,0
"2F7",4,3,3,0,2,0,0,1,0
"2F8",4,2,1,0,1,1,2,0,0
"2G1",1,4,3,0,0,0,1,0,1
"2G2",0,0,0,0,0,0,0,0,0
"2G3",1,4,3,2,1,0,1,0,0
"2G4",1,3,3,1,2,0,0,0,0
"2G5",0,4,3,1,1,1,1,0,0
"2G6",1,5,4,2,1,0,0,1,1
"2G7",0,3,4,1,0,0,0,0,0
"2G8",1,5,1,0,0,0,0,1,1
"2H1",0,3,1,1,0,1,2,0,0
"2H2",1,5,2,1,1,0,0,0,0
"2H3",0,2,1,1,1,0,0,0,0
"2H4",1,3,3,2,1,0,1,0,0
"2H5",1,5,6,2,1,1,1,0,0
"2H6",0,4,4,2,0,1,0,0,1
"2H7",0,3,2,0,0,0,0,0,0
"2H8",1,4,2,1,1,1,0,1,0
