"Directory","1","2","3","4","5","6","7","8","9","10","11"
"1D4",0,1,0,0,0,0,0,0,0,1,0
"1D5",4,10,3,0,0,0,0,1,0,0,0
"1D6",4,5,7,2,1,0,0,0,0,2,0
"1E4",1,1,1,1,0,0,0,0,0,1,1
"1E5",5,8,6,6,2,1,1,1,0,0,0
"1E6",3,11,3,2,1,0,4,3,3,0,0
"1F4",0,0,0,0,0,1,2,1,0,1,1
"1F5",2,2,0,0,0,0,0,1,2,1,0
"1F6",1,1,3,2,0,1,0,1,2,0,0
"1P3",4,3,5,4,1,0,0,2,0,0,0
"1P7",6,2,2,3,1,1,1,2,1,0,0
"1R1",0,0,0,0,0,0,0,0,0,0,0
"1R3",1,3,13,12,1,2,0,3,1,0,1
"1R5",0,0,0,0,0,0,0,0,0,0,0
"1R7",0,0,0,0,0,0,0,0,0,0,0
"1R9",0,0,0,0,0,0,0,0,0,0,0
"1T3",0,1,10,11,3,3,2,2,0,1,0
"1T7",7,16,2,9,4,1,4,5,0,1,1
"1V1",0,0,0,0,0,0,0,0,0,0,0
"1V3",3,5,1,0,0,0,0,0,0,0,0
"1V5",3,8,10,5,1,0,2,2,3,0,0
"1V7",0,0,0,0,0,0,0,0,0,0,0
"1V9",0,0,0,0,0,0,0,0,0,0,0
"1X3",5,0,0,2,1,0,0,0,0,0,2
"1X7",3,3,3,0,0,0,2,1,2,0,1
