"Directory","1","2","3","4","5","6","7","8","9"
"8A1",1,1,1,1,1,0,0,0,0
"8A2",1,1,0,0,0,1,1,0,0
"8A3",1,1,0,1,1,1,1,0,0
"8A4",1,1,0,1,0,0,0,1,0
"8A5",1,1,1,1,1,0,0,1,0
"8A6",1,1,1,1,0,1,1,1,0
"8A7",1,1,0,1,1,0,1,1,0
"8A8",1,1,1,1,1,1,1,0,1
"8B1",1,1,1,1,1,1,1,0,0
"8B2",0,0,0,0,0,0,0,0,0
"8B3",1,1,1,1,1,0,1,1,0
"8B4",1,1,1,1,1,0,0,0,0
"8B5",1,1,1,0,1,1,1,0,0
"8B6",1,1,1,1,1,1,1,0,0
"8B7",1,1,1,1,1,1,0,1,1
"8B8",1,0,1,1,1,1,1,1,0
"8C1",1,1,0,1,1,1,1,1,0
"8C2",1,1,1,1,1,1,1,0,0
"8C3",1,1,0,0,1,0,0,1,0
"8C4",1,1,0,1,0,0,0,1,0
"8C5",1,1,1,0,1,0,1,0,0
"8C6",1,1,0,0,1,1,1,0,0
"8C7",1,1,0,1,1,1,1,1,0
"8C8",1,1,1,1,1,1,1,1,0
"8D1",1,1,0,1,1,1,1,1,0
"8D2",1,1,1,1,1,1,1,0,0
"8D3",1,1,0,0,1,0,1,0,0
"8D4",1,1,1,0,1,1,0,1,0
"8D5",1,1,1,1,1,1,1,1,0
"8D6",1,1,1,1,1,1,1,1,0
"8D7",1,1,1,1,1,1,1,0,0
"8D8",1,1,1,1,1,1,1,0,0
"8E1",1,1,1,1,1,1,1,0,0
"8E2",1,1,1,1,1,1,0,1,0
"8E3",1,1,1,0,1,0,1,0,0
"8E4",1,1,1,0,1,0,0,1,0
"8E5",1,1,1,1,1,1,1,1,0
"8E6",1,1,1,1,1,1,1,1,0
"8E7",1,1,1,1,1,1,1,1,0
"8E8",1,1,0,1,1,1,1,1,0
"8F1",1,1,0,0,1,1,1,1,0
"8F2",1,1,1,0,1,1,1,1,0
"8F3",1,1,0,1,1,1,0,0,0
"8F4",1,1,1,1,1,1,1,1,0
"8F5",1,1,1,0,1,1,0,1,0
"8F6",1,1,1,0,1,1,1,1,1
"8F7",1,1,1,1,0,1,1,1,0
"8F8",1,0,1,0,0,0,0,0,1
"8G1",1,1,0,0,1,1,1,1,0
"8G2",0,0,0,0,0,0,0,0,0
"8G3",1,1,1,0,0,1,1,1,0
"8G4",1,1,1,1,0,1,1,1,0
"8G5",1,1,1,0,1,1,1,1,0
"8G6",1,1,1,1,1,1,1,1,0
"8G7",1,1,1,1,0,0,0,1,0
"8G8",1,1,0,0,1,1,1,1,0
"8H1",1,1,1,0,0,1,1,0,0
"8H2",1,1,1,0,1,0,1,0,0
"8H3",1,1,1,1,1,1,1,1,0
"8H4",1,1,1,0,1,0,0,0,0
"8H5",1,1,0,0,1,0,1,1,0
"8H6",1,0,0,0,0,0,0,0,0
"8H7",1,1,1,0,1,0,1,0,0
"8H8",1,1,1,0,1,1,1,1,0
