"Directory","1","2","3","4","5","6","7","8","9"
"6A1",6,3,3,1,0,0,1,1,0
"6A2",8,4,3,4,0,2,2,2,0
"6A3",8,3,1,0,1,1,1,0,0
"6A4",3,2,1,1,0,0,0,1,0
"6A5",3,3,0,0,0,0,0,0,0
"6A6",1,0,0,0,0,0,0,0,0
"6A7",0,0,0,0,0,0,0,0,0
"6A8",0,0,0,0,0,0,0,0,0
"6B1",3,3,4,1,0,1,1,2,0
"6B2",2,3,0,0,0,1,1,1,0
"6B3",6,3,3,1,1,0,2,2,0
"6B4",3,2,1,0,0,0,0,1,0
"6B5",2,3,0,0,0,0,0,0,0
"6B6",0,0,0,0,0,0,0,0,0
"6B7",0,0,0,0,0,0,0,0,0
"6B8",0,0,0,0,0,0,0,0,0
"6C1",3,6,1,0,0,1,0,1,0
"6C2",4,4,2,1,0,0,0,1,1
"6C3",3,2,1,1,2,0,0,2,1
"6C4",3,1,0,0,0,0,0,1,0
"6C5",2,2,1,0,3,0,0,0,0
"6C6",0,1,0,0,0,0,0,0,0
"6C7",0,0,0,0,0,0,0,0,0
"6C8",0,0,0,0,0,0,0,0,0
"6D1",5,2,0,1,1,1,0,3,0
"6D2",2,5,1,0,1,0,0,2,0
"6D3",0,1,0,0,0,0,0,0,0
"6D4",1,1,0,0,0,0,0,0,0
"6D5",4,0,2,0,0,0,0,0,0
"6D6",1,2,0,0,0,0,0,0,0
"6D7",1,0,0,0,0,0,0,0,0
"6D8",0,1,1,0,0,0,0,0,0
"6E1",5,0,0,0,0,0,0,1,0
"6E2",5,1,0,0,0,0,0,0,0
"6E3",2,0,0,0,0,0,1,0,0
"6E4",3,3,0,0,0,0,0,0,0
"6E5",0,0,0,0,0,0,0,0,0
"6E6",1,1,0,0,0,0,0,0,0
"6E7",4,1,0,0,0,0,1,0,0
"6E8",1,1,0,0,0,0,1,0,0
"6F1",3,0,0,0,0,0,0,0,0
"6F2",4,1,1,0,0,0,0,2,0
"6F3",3,0,1,1,0,0,0,1,0
"6F4",3,1,0,0,0,0,0,1,0
"6F5",3,2,1,0,1,0,1,0,0
"6F6",4,4,1,0,2,0,0,0,0
"6F7",2,0,0,0,0,0,0,0,0
"6F8",0,0,0,0,0,0,0,0,0
"6G1",5,2,2,0,0,0,0,1,0
"6G2",4,0,0,0,0,0,0,0,0
"6G3",1,0,1,0,0,0,0,3,0
"6G4",2,0,0,0,0,0,0,1,0
"6G5",0,0,0,0,0,0,0,0,0
"6G6",2,0,0,0,1,0,0,0,0
"6G7",1,1,0,0,0,0,0,0,0
"6G8",4,0,0,0,0,0,0,0,0
"6H1",3,1,0,0,0,1,0,0,0
"6H2",0,1,1,0,0,0,1,3,0
"6H3",5,2,1,1,0,0,0,1,0
"6H4",1,0,0,0,0,0,0,0,0
"6H5",4,2,1,1,1,0,0,1,0
"6H6",6,0,2,0,1,0,0,1,0
"6H7",1,0,0,0,0,0,0,1,0
"6H8",4,3,2,2,0,0,0,2,0
