"Directory","1","2","3","4","5","6","7","8"
"7D4",1,1,1,1,1,1,1,1
"7D5",0,1,1,1,1,1,1,1
"7D6",1,1,1,1,1,0,0,0
"7E4",1,1,1,1,0,0,0,0
"7E5",1,1,1,1,1,0,0,0
"7E6",1,1,1,1,1,1,1,1
"7F4",1,1,1,1,1,1,0,1
"7F5",0,0,0,0,0,0,0,0
"7F6",1,1,1,1,1,0,1,1
"7P3",1,1,1,1,1,0,1,0
"7P7",1,1,1,0,0,0,0,0
"7R1",0,1,1,1,1,1,0,1
"7R3",1,1,1,1,1,1,1,0
"7R5",1,0,1,1,1,1,0,0
"7R7",1,1,1,1,1,1,0,0
"7R9",1,1,1,1,1,1,1,0
"7T3",1,1,1,1,1,1,1,0
"7T7",1,1,1,1,1,1,0,0
"7V1",1,1,1,1,1,1,1,1
"7V3",1,1,1,1,1,1,0,0
"7V5",1,1,1,1,1,0,0,1
"7V7",1,1,1,1,1,1,1,1
"7V9",1,1,1,1,1,1,1,1
"7X3",1,1,1,1,1,1,1,1
"7X7",1,1,1,1,0,1,0,1
