"Directory","1","2","3","4","5","6","7","8","9","10","11"
"1A1",0,0,0,0,0,0,0,0,0,0,0
"1A2",2,0,0,0,0,0,0,0,0,0,0
"1A3",63,3,0,0,0,0,0,1,0,0,0
"1A4",2,0,1,1,0,0,0,0,0,0,0
"1A5",0,0,0,0,0,0,0,0,0,0,0
"1A6",4,4,0,0,0,0,0,0,0,0,1
"1A7",15,5,0,0,1,0,0,0,0,0,0
"1A8",2,3,0,1,0,0,0,0,0,0,0
"1B1",0,0,0,0,0,0,0,0,0,0,0
"1B2",0,0,0,0,0,1,0,0,0,0,0
"1B3",2,0,0,1,0,0,0,0,0,0,0
"1B4",0,0,0,0,0,0,0,0,0,0,0
"1B5",0,7,2,1,0,0,0,0,0,0,0
"1B6",0,4,1,0,0,0,0,0,0,0,0
"1B7",26,7,0,2,1,0,0,2,1,0,0
"1B8",4,0,2,0,0,0,0,0,0,0,0
"1C1",0,0,0,3,1,0,0,0,0,0,0
"1C2",0,0,0,0,0,0,1,0,0,0,0
"1C3",3,1,2,0,2,0,0,0,0,0,0
"1C4",1,2,0,0,0,0,0,0,0,0,0
"1C5",32,13,0,0,0,0,1,0,0,0,0
"1C6",66,36,0,2,0,0,2,0,1,0,0
"1C7",6,8,2,1,0,0,0,0,0,0,0
"1C8",1,2,2,1,0,0,0,0,0,0,0
"1D1",0,0,0,0,0,0,0,0,0,0,0
"1D2",10,0,0,0,0,0,0,0,0,0,0
"1D3",4,1,1,0,2,0,0,0,0,1,0
"1D4",0,0,0,0,0,0,0,0,0,0,0
"1D5",0,1,0,0,0,0,0,0,0,0,0
"1D6",2,1,0,0,0,0,0,0,0,0,0
"1D7",1,50,5,1,0,0,0,0,2,0,0
"1D8",0,0,2,0,0,0,0,0,0,0,0
"1E1",0,0,0,0,0,0,0,0,0,0,0
"1E2",1,3,3,0,1,0,0,1,0,1,1
"1E3",0,2,0,0,1,1,0,0,1,0,0
"1E4",3,2,0,0,0,0,0,0,0,1,0
"1E5",1,0,1,0,0,0,0,1,0,1,0
"1E6",1,28,2,0,0,0,1,0,0,1,0
"1E7",25,37,1,1,0,0,1,1,0,0,0
"1E8",9,3,1,0,0,0,0,0,0,0,0
"1F1",0,0,0,0,0,0,0,0,0,0,0
"1F2",0,1,1,0,0,0,0,0,0,0,0
"1F3",0,1,0,0,0,0,0,0,0,0,0
"1F4",35,1,0,0,0,0,0,0,0,0,0
"1F5",0,3,0,1,0,0,0,0,0,0,0
"1F6",2,1,1,0,0,0,0,0,0,0,0
"1F7",23,0,3,0,0,0,0,0,0,0,0
"1F8",6,13,1,0,0,1,0,0,0,0,0
"1G1",6,3,0,0,0,0,0,0,0,0,0
"1G2",26,3,0,0,0,0,0,0,0,0,0
"1G3",11,25,8,1,0,0,1,0,0,0,0
"1G4",3,0,0,0,0,0,0,0,0,0,0
"1G5",3,5,1,0,0,0,0,0,0,0,0
"1G6",52,3,1,0,1,0,0,0,0,0,1
"1G7",0,0,7,1,0,0,0,0,0,0,0
"1G8",0,20,2,2,0,0,1,0,1,0,0
"1H1",0,4,1,1,0,0,0,0,0,0,0
"1H2",3,4,1,0,0,0,1,0,0,0,0
"1H3",21,0,1,0,0,1,0,1,0,1,1
"1H4",0,5,0,0,0,0,2,0,0,0,1
"1H5",37,27,2,1,0,0,0,0,0,1,0
"1H6",4,10,1,0,0,0,1,0,0,0,0
"1H7",1,0,3,0,0,0,1,1,0,1,0
"1H8",24,24,1,0,0,1,0,0,2,0,0
