"Directory","1","2","3","4","5","6","7","8"
"4A1",42,0,0,0,0,0,0,0
"4A2",0,0,0,0,0,0,0,0
"4A3",0,0,0,0,0,0,0,0
"4A4",0,0,0,0,0,0,0,0
"4A5",0,0,0,0,0,0,0,0
"4A6",0,0,0,0,0,0,0,0
"4A7",0,33,0,0,0,1,0,0
"4A8",54,34,0,1,0,1,0,1
"4B1",35,0,0,0,0,0,0,0
"4B2",0,0,0,0,0,0,0,0
"4B3",0,0,0,0,0,0,0,0
"4B4",0,0,0,0,0,1,0,0
"4B5",0,0,0,0,1,0,0,0
"4B6",0,0,0,0,0,0,0,0
"4B7",0,0,0,0,0,0,0,0
"4B8",0,46,2,0,0,1,0,0
"4C1",0,0,0,0,2,0,0,0
"4C2",0,0,0,0,0,0,0,0
"4C3",0,0,0,0,0,0,0,0
"4C4",0,0,0,0,0,1,0,0
"4C5",1,0,0,0,0,0,0,0
"4C6",0,2,0,0,0,0,0,0
"4C7",0,13,11,0,0,0,0,0
"4C8",0,54,1,0,0,0,0,0
"4D1",48,7,8,3,1,0,0,0
"4D2",0,0,0,7,2,0,0,0
"4D3",0,1,0,0,2,0,0,0
"4D4",4,0,0,3,0,0,0,0
"4D5",10,0,0,0,0,0,0,0
"4D6",5,3,1,2,0,1,0,0
"4D7",4,2,21,0,0,2,0,0
"4D8",13,4,1,0,0,0,0,0
"4E1",64,3,0,0,1,0,0,0
"4E2",40,0,6,1,0,1,1,1
"4E3",0,0,0,0,9,3,0,0
"4E4",8,0,0,10,27,0,0,1
"4E5",12,4,40,13,1,1,0,0
"4E6",17,0,16,5,0,1,0,0
"4E7",10,0,0,0,0,0,0,0
"4E8",23,0,1,1,0,0,0,0
"4F1",4,2,0,1,2,0,0,0
"4F2",6,9,9,3,0,1,0,1
"4F3",0,0,0,0,2,1,0,0
"4F4",1,0,0,5,21,2,0,1
"4F5",19,2,0,1,4,0,1,0
"4F6",14,1,0,3,2,0,0,0
"4F7",6,0,4,1,1,1,0,0
"4F8",23,6,4,5,2,0,0,0
"4G1",30,4,3,1,2,2,0,0
"4G2",0,11,0,2,1,0,0,0
"4G3",13,18,0,0,0,0,0,0
"4G4",0,0,0,0,0,0,0,0
"4G5",18,0,0,1,0,0,2,0
"4G6",2,6,4,0,1,0,0,0
"4G7",63,9,0,1,1,0,0,0
"4G8",30,6,4,4,2,0,0,0
"4H1",15,4,5,1,0,1,0,0
"4H2",52,0,3,2,0,1,0,0
"4H3",34,1,1,0,0,0,0,0
"4H4",28,0,0,1,0,0,0,0
"4H5",2,0,0,0,1,0,0,0
"4H6",28,3,0,2,1,0,0,0
"4H7",25,2,1,0,2,0,0,0
"4H8",60,7,1,3,2,0,2,1
