"Directory","1","2","3","4","5","6","7","8","9","10","11"
"1D4",0,1,0,0,0,0,0,0,0,1,0
"1D5",1,1,1,0,0,0,0,1,0,0,0
"1D6",1,1,1,1,1,0,0,0,0,1,0
"1E4",1,1,1,1,0,0,0,0,0,1,1
"1E5",1,1,1,1,1,1,1,1,0,0,0
"1E6",1,1,1,1,1,0,1,1,1,0,0
"1F4",0,0,0,0,0,1,1,1,0,1,1
"1F5",1,1,0,0,0,0,0,1,1,1,0
"1F6",1,1,1,1,0,1,0,1,1,0,0
"1P3",1,1,1,1,1,0,0,1,0,0,0
"1P7",1,1,1,1,1,1,1,1,1,0,0
"1R1",0,0,0,0,0,0,0,0,0,0,0
"1R3",1,1,1,1,1,1,0,1,1,0,1
"1R5",0,0,0,0,0,0,0,0,0,0,0
"1R7",0,0,0,0,0,0,0,0,0,0,0
"1R9",0,0,0,0,0,0,0,0,0,0,0
"1T3",0,1,1,1,1,1,1,1,0,1,0
"1T7",1,1,1,1,1,1,1,1,0,1,1
"1V1",0,0,0,0,0,0,0,0,0,0,0
"1V3",1,1,1,0,0,0,0,0,0,0,0
"1V5",1,1,1,1,1,0,1,1,1,0,0
"1V7",0,0,0,0,0,0,0,0,0,0,0
"1V9",0,0,0,0,0,0,0,0,0,0,0
"1X3",1,0,0,1,1,0,0,0,0,0,1
"1X7",1,1,1,0,0,0,1,1,1,0,1
