"Directory","1","2","3","4","5","6","7","8"
"3D4",6,1,9,11,9,6,5,8
"3D5",0,0,0,0,0,0,0,0
"3D6",1,11,11,11,15,5,5,1
"3E4",11,8,3,7,9,0,0,0
"3E5",1,5,5,13,5,8,6,3
"3E6",4,3,1,8,9,2,3,3
"3F4",1,2,1,7,9,3,2,2
"3F5",2,8,3,16,6,7,4,1
"3F6",6,10,8,17,7,3,3,2
"3P3",2,5,1,3,4,4,2,6
"3P7",7,10,5,3,8,1,3,1
"3R1",11,9,5,4,4,5,3,8
"3R3",0,3,10,9,6,5,3,4
"3R5",0,0,0,0,0,0,0,0
"3R7",0,0,1,15,10,5,1,4
"3R9",2,2,7,8,3,3,1,0
"3T3",0,0,0,0,0,0,0,0
"3T7",2,1,7,17,7,3,2,1
"3V1",6,0,0,2,3,0,0,1
"3V3",5,2,5,5,6,5,4,0
"3V5",1,11,2,14,8,5,4,3
"3V7",3,1,2,17,7,3,4,2
"3V9",5,5,10,11,8,6,4,3
"3X3",6,6,6,7,8,7,4,2
"3X7",5,6,11,11,8,10,7,4
