"Directory","1","2","3","4","5","6","7","8"
"4D4",1,1,1,1,1,1,0,0
"4D5",1,1,1,1,1,1,1,1
"4D6",1,1,1,1,1,1,0,0
"4E4",1,1,1,1,1,1,1,1
"4E5",0,1,1,1,1,1,1,1
"4E6",1,1,1,1,1,1,1,1
"4F4",1,1,1,1,1,1,1,1
"4F5",1,1,1,1,1,1,1,0
"4F6",1,1,1,1,1,1,1,1
"4P3",1,1,1,1,1,1,1,1
"4P7",0,0,1,1,1,1,1,1
"4R1",1,1,0,1,1,1,1,1
"4R3",1,1,0,1,1,1,1,1
"4R5",1,1,1,1,1,1,1,1
"4R7",0,1,1,1,1,1,1,1
"4R9",1,1,1,1,1,1,1,1
"4T3",1,1,1,1,1,1,0,0
"4T7",1,0,0,1,1,1,0,1
"4V1",0,1,1,1,1,1,0,0
"4V3",1,1,1,1,1,1,1,1
"4V5",0,1,0,1,1,1,1,1
"4V7",0,0,0,0,0,0,0,0
"4V9",1,1,1,1,1,1,1,1
"4X3",1,1,1,1,1,1,1,0
"4X7",1,1,1,1,1,1,1,1
