"Directory","1","2","3","4","5","6","7","8","9"
"3A1",29,1,2,1,0,0,0,0,0
"3A2",57,23,5,4,3,1,3,0,0
"3A3",11,24,2,4,0,2,1,1,0
"3A4",18,26,6,2,0,2,0,0,0
"3A5",38,6,1,2,0,1,0,1,0
"3A6",19,3,2,0,0,0,0,0,0
"3A7",4,0,0,0,0,0,0,0,0
"3A8",56,4,2,0,2,0,0,0,0
"3B1",19,1,1,0,0,0,0,0,0
"3B2",40,10,2,1,3,1,1,0,0
"3B3",11,13,1,2,1,1,0,0,0
"3B4",1,1,1,0,0,0,0,0,0
"3B5",0,1,0,0,0,0,0,0,0
"3B6",12,2,1,1,1,0,0,0,0
"3B7",25,6,0,0,0,0,0,0,0
"3B8",49,12,2,3,0,1,1,1,0
"3C1",19,1,0,0,0,0,0,0,0
"3C2",37,4,4,0,0,0,1,0,0
"3C3",38,2,1,2,3,0,3,1,0
"3C4",28,3,3,2,1,0,1,1,0
"3C5",0,0,1,1,0,0,0,0,0
"3C6",28,30,1,4,1,0,0,0,0
"3C7",30,21,2,2,0,1,0,1,0
"3C8",55,3,1,2,0,0,0,0,0
"3D1",42,10,2,2,0,1,0,0,0
"3D2",14,2,3,1,1,0,0,0,0
"3D3",5,1,3,1,1,0,1,0,0
"3D4",7,5,22,6,0,0,0,0,0
"3D5",0,0,0,0,0,0,0,0,0
"3D6",17,15,30,2,0,0,0,0,0
"3D7",41,4,1,3,3,0,0,0,0
"3D8",19,3,0,2,2,1,0,0,0
"3E1",18,1,1,0,0,0,0,0,0
"3E2",0,0,0,0,0,0,0,0,0
"3E3",10,14,64,6,2,0,1,0,0
"3E4",5,8,13,6,0,0,0,0,0
"3E5",17,3,31,8,2,1,0,0,0
"3E6",29,7,4,1,0,0,0,0,0
"3E7",66,0,1,3,1,0,0,0,0
"3E8",22,2,2,1,0,0,0,1,0
"3F1",0,15,2,1,1,2,0,0,0
"3F2",5,22,4,3,2,1,1,0,2
"3F3",0,11,1,0,1,0,0,0,0
"3F4",0,3,3,2,4,2,0,0,0
"3F5",0,4,15,3,1,2,1,0,0
"3F6",0,5,3,2,0,3,0,0,0
"3F7",6,21,2,2,1,0,1,1,0
"3F8",0,36,0,2,2,0,0,0,0
"3G1",0,37,5,0,0,0,0,0,0
"3G2",0,42,5,1,3,0,0,0,0
"3G3",25,29,3,2,1,0,0,0,0
"3G4",53,2,1,2,3,2,1,0,0
"3G5",10,34,2,0,2,1,0,0,0
"3G6",0,24,0,1,0,1,0,1,1
"3G7",0,19,3,1,1,0,1,0,0
"3G8",3,1,5,0,0,0,0,0,0
"3H1",0,39,2,3,2,0,1,0,0
"3H2",18,43,5,3,1,1,0,0,0
"3H3",11,26,2,2,4,1,0,1,0
"3H4",0,38,0,0,0,0,0,0,0
"3H5",14,83,5,5,2,2,2,2,1
"3H6",14,5,1,0,1,1,0,0,0
"3H7",0,7,3,0,1,0,0,0,0
"3H8",15,12,1,0,2,0,1,0,0
