"Directory","1","2","3","4","5","6","7","8"
"2D4",1,1,1,1,1,0,1,0
"2D5",1,1,1,1,1,0,1,1
"2D6",1,1,1,1,1,1,1,1
"2E4",1,1,1,1,1,1,1,1
"2E5",1,1,1,1,1,1,1,1
"2E6",1,1,1,1,1,1,0,0
"2F4",1,1,1,1,1,1,1,0
"2F5",1,1,1,1,1,1,0,0
"2F6",1,1,1,1,1,1,0,0
"2P3",1,1,1,1,0,0,0,0
"2P7",0,0,0,0,0,0,0,0
"2R1",0,0,0,0,0,0,0,0
"2R3",0,0,0,0,0,0,0,0
"2R5",1,1,1,1,1,1,1,0
"2R7",0,0,0,0,0,0,0,0
"2R9",1,1,1,1,1,1,1,0
"2T3",1,1,1,1,1,1,0,0
"2T7",0,1,1,1,0,0,0,0
"2V1",1,1,1,1,0,0,0,0
"2V3",1,1,1,1,0,0,1,0
"2V5",1,1,1,1,1,1,0,0
"2V7",1,1,1,1,1,0,0,0
"2V9",1,1,1,1,1,1,0,0
"2X3",0,0,0,1,0,1,0,0
"2X7",0,0,0,0,0,0,0,0
