"Directory","1","2","3","4","5","6","7","8"
"3D4",1,1,1,1,1,1,1,1
"3D5",0,0,0,0,0,0,0,0
"3D6",1,1,1,1,1,1,1,1
"3E4",1,1,1,1,1,0,0,0
"3E5",1,1,1,1,1,1,1,1
"3E6",1,1,1,1,1,1,1,1
"3F4",1,1,1,1,1,1,1,1
"3F5",1,1,1,1,1,1,1,1
"3F6",1,1,1,1,1,1,1,1
"3P3",1,1,1,1,1,1,1,1
"3P7",1,1,1,1,1,1,1,1
"3R1",1,1,1,1,1,1,1,1
"3R3",0,1,1,1,1,1,1,1
"3R5",0,0,0,0,0,0,0,0
"3R7",0,0,1,1,1,1,1,1
"3R9",1,1,1,1,1,1,1,0
"3T3",0,0,0,0,0,0,0,0
"3T7",1,1,1,1,1,1,1,1
"3V1",1,0,0,1,1,0,0,1
"3V3",1,1,1,1,1,1,1,0
"3V5",1,1,1,1,1,1,1,1
"3V7",1,1,1,1,1,1,1,1
"3V9",1,1,1,1,1,1,1,1
"3X3",1,1,1,1,1,1,1,1
"3X7",1,1,1,1,1,1,1,1
