"Directory","1","2","3","4","5","6","7","8"
"4A1",5,0,0,0,0,0,0,0
"4A2",0,0,0,0,0,0,0,0
"4A3",0,0,0,0,0,0,0,0
"4A4",0,0,0,0,0,0,0,0
"4A5",0,0,0,0,0,0,0,0
"4A6",0,0,0,0,0,0,0,0
"4A7",0,3,0,0,0,1,0,0
"4A8",3,6,0,1,0,1,0,1
"4B1",5,0,0,0,0,0,0,0
"4B2",0,0,0,0,0,0,0,0
"4B3",0,0,0,0,0,0,0,0
"4B4",0,0,0,0,0,1,0,0
"4B5",0,0,0,0,1,0,0,0
"4B6",0,0,0,0,0,0,0,0
"4B7",0,0,0,0,0,0,0,0
"4B8",0,5,2,0,0,1,0,0
"4C1",0,0,0,0,1,0,0,0
"4C2",0,0,0,0,0,0,0,0
"4C3",0,0,0,0,0,0,0,0
"4C4",0,0,0,0,0,1,0,0
"4C5",1,0,0,0,0,0,0,0
"4C6",0,1,0,0,0,0,0,0
"4C7",0,4,4,0,0,0,0,0
"4C8",0,3,1,0,0,0,0,0
"4D1",6,2,3,2,1,0,0,0
"4D2",0,0,0,3,1,0,0,0
"4D3",0,1,0,0,2,0,0,0
"4D4",2,0,0,2,0,0,0,0
"4D5",4,0,0,0,0,0,0,0
"4D6",3,3,1,1,0,1,0,0
"4D7",2,2,5,0,0,1,0,0
"4D8",2,1,1,0,0,0,0,0
"4E1",3,2,0,0,1,0,0,0
"4E2",4,0,3,1,0,1,1,1
"4E3",0,0,0,0,3,2,0,0
"4E4",3,0,0,2,5,0,0,1
"4E5",6,3,3,5,1,1,0,0
"4E6",7,0,4,3,0,1,0,0
"4E7",5,0,0,0,0,0,0,0
"4E8",5,0,1,1,0,0,0,0
"4F1",4,2,0,1,2,0,0,0
"4F2",2,5,5,2,0,1,0,1
"4F3",0,0,0,0,2,1,0,0
"4F4",1,0,0,4,3,1,0,1
"4F5",4,2,0,1,1,0,1,0
"4F6",4,1,0,3,2,0,0,0
"4F7",3,0,3,1,1,1,0,0
"4F8",5,2,3,3,2,0,0,0
"4G1",6,2,3,1,1,2,0,0
"4G2",0,3,0,2,1,0,0,0
"4G3",2,4,0,0,0,0,0,0
"4G4",0,0,0,0,0,0,0,0
"4G5",4,0,0,1,0,0,1,0
"4G6",2,1,3,0,1,0,0,0
"4G7",5,6,0,1,1,0,0,0
"4G8",3,4,4,4,2,0,0,0
"4H1",2,2,3,1,0,1,0,0
"4H2",7,0,2,2,0,1,0,0
"4H3",8,1,1,0,0,0,0,0
"4H4",3,0,0,1,0,0,0,0
"4H5",2,0,0,0,1,0,0,0
"4H6",2,2,0,2,1,0,0,0
"4H7",4,1,1,0,2,0,0,0
"4H8",6,5,1,3,2,0,1,1
