"Directory","1","2","3","4","5","6","7","8"
"3A1",0,0,0,0,0,0,0,0
"3A2",0,0,0,0,0,0,0,0
"3A3",0,1,0,0,1,0,0,0
"3A4",0,0,0,0,0,0,0,0
"3A5",0,2,0,0,0,0,0,0
"3A6",0,0,1,1,0,0,0,0
"3A7",0,0,0,0,0,0,0,0
"3A8",0,0,0,0,0,1,0,0
"3B1",16,0,0,0,0,0,0,0
"3B2",12,7,3,1,1,1,0,0
"3B3",42,24,0,2,1,0,0,0
"3B4",12,0,0,1,0,0,0,0
"3B5",4,4,3,0,2,0,0,1
"3B6",0,0,0,1,0,0,0,0
"3B7",9,1,0,0,0,0,0,0
"3B8",4,0,0,0,1,0,0,0
"3C1",20,0,0,0,0,0,0,1
"3C2",26,14,2,0,1,0,0,0
"3C3",25,18,1,1,2,0,0,0
"3C4",7,4,0,0,0,0,1,0
"3C5",6,0,10,0,0,0,0,0
"3C6",7,0,0,0,0,0,0,0
"3C7",33,39,3,0,0,3,1,0
"3C8",15,6,0,0,0,0,0,1
"3D1",49,14,2,1,2,0,0,0
"3D2",0,1,2,2,0,1,0,0
"3D3",0,0,2,0,0,1,0,1
"3D4",15,17,60,6,1,0,1,1
"3D5",0,0,0,0,0,0,0,0
"3D6",0,9,6,2,0,0,0,1
"3D7",2,0,1,1,1,0,0,0
"3D8",14,4,1,3,0,0,1,2
"3E1",7,4,0,0,0,0,0,0
"3E2",54,1,0,1,0,0,0,0
"3E3",0,0,0,0,0,0,0,0
"3E4",0,4,1,1,0,0,0,0
"3E5",0,1,1,1,1,0,0,0
"3E6",0,1,1,1,0,0,0,1
"3E7",0,6,3,0,0,0,0,0
"3E8",42,9,2,1,1,1,0,2
"3F1",30,3,3,0,0,0,0,0
"3F2",6,3,1,2,1,1,1,0
"3F3",0,0,2,1,0,0,0,0
"3F4",0,0,0,0,0,1,0,0
"3F5",0,11,10,1,1,0,1,1
"3F6",0,14,5,1,0,3,0,2
"3F7",12,3,3,0,0,0,0,1
"3F8",10,1,0,1,1,0,0,0
"3G1",37,4,2,1,0,1,1,0
"3G2",0,1,2,1,1,0,0,0
"3G3",0,4,0,0,2,0,0,1
"3G4",0,0,0,1,0,0,0,0
"3G5",0,3,0,0,0,0,0,0
"3G6",0,6,1,2,0,0,0,1
"3G7",3,2,1,2,1,0,0,0
"3G8",0,0,0,2,0,0,0,0
"3H1",7,4,2,1,0,0,0,0
"3H2",0,1,1,0,0,1,1,1
"3H3",0,1,1,2,1,0,0,1
"3H4",16,2,0,0,0,0,0,0
"3H5",0,0,0,0,1,2,0,0
"3H6",21,1,0,1,0,2,1,0
"3H7",15,30,5,1,2,0,0,1
"3H8",13,1,0,1,1,0,0,0
