"Directory","1","2","3","4","5","6","7","8","9","10"
"5A1",1,1,0,1,1,1,0,1,1,0
"5A2",1,1,1,1,1,1,1,1,1,0
"5A3",1,1,1,1,1,1,1,0,1,0
"5A4",1,1,0,1,1,1,0,1,0,0
"5A5",1,0,0,0,0,0,0,0,0,0
"5A6",1,1,1,1,1,1,1,1,1,1
"5A7",1,1,1,1,1,1,1,1,0,0
"5A8",1,1,1,0,1,1,1,1,1,1
"5B1",1,1,1,1,1,1,0,0,1,0
"5B2",1,1,1,1,1,1,1,0,0,0
"5B3",1,1,1,1,1,1,1,1,1,0
"5B4",1,1,0,1,0,0,0,1,0,0
"5B5",1,1,0,1,1,1,1,1,1,1
"5B6",1,1,1,1,1,1,1,1,1,1
"5B7",1,1,0,0,1,1,1,1,1,0
"5B8",1,1,1,1,1,1,1,1,1,1
"5C1",1,1,1,1,0,1,1,1,0,1
"5C2",1,1,1,1,1,1,1,1,0,1
"5C3",1,1,1,1,0,1,1,1,1,1
"5C4",1,1,1,1,1,1,1,1,1,1
"5C5",1,1,1,1,1,1,1,0,1,0
"5C6",1,1,1,0,0,0,1,1,0,0
"5C7",1,1,1,1,1,1,1,1,1,1
"5C8",1,1,1,1,1,1,1,1,1,1
"5D1",1,1,1,1,1,0,1,1,0,1
"5D2",1,1,1,1,1,1,1,1,1,1
"5D3",1,1,1,1,1,1,1,1,1,1
"5D4",1,1,1,1,1,1,1,1,0,1
"5D5",1,1,1,1,0,0,1,1,1,0
"5D6",1,1,1,1,1,1,1,1,1,1
"5D7",1,1,1,1,1,1,1,1,1,1
"5D8",1,1,1,1,1,1,1,1,0,0
"5E1",1,1,1,1,1,0,1,0,0,0
"5E2",1,1,1,1,1,1,1,0,0,0
"5E3",1,1,1,1,1,1,1,1,0,0
"5E4",1,1,1,1,1,1,1,1,0,0
"5E5",1,1,1,1,1,1,1,0,0,1
"5E6",1,1,1,1,1,1,1,1,1,1
"5E7",0,1,1,1,1,1,1,0,1,0
"5E8",1,1,1,1,1,1,1,0,1,1
"5F1",1,1,1,1,1,1,1,0,0,0
"5F2",1,1,1,1,1,0,1,0,1,1
"5F3",1,1,1,1,1,1,1,1,1,0
"5F4",1,1,1,1,1,1,1,0,0,0
"5F5",1,1,1,1,1,1,1,1,0,1
"5F6",1,1,1,1,1,1,1,0,1,1
"5F7",0,1,1,1,1,1,0,0,1,0
"5F8",1,1,1,1,1,1,1,1,1,0
"5G1",1,1,1,0,1,1,0,1,0,0
"5G2",1,1,1,1,1,1,1,0,0,0
"5G3",1,1,1,1,1,1,0,0,0,0
"5G4",1,1,1,1,1,1,1,0,1,1
"5G5",1,1,1,1,1,1,1,1,1,0
"5G6",1,1,1,1,1,1,0,1,1,1
"5G7",1,1,1,1,1,1,1,1,1,1
"5G8",1,1,0,1,1,1,1,1,0,0
"5H1",0,1,1,1,0,1,1,1,1,1
"5H2",0,1,1,1,1,1,1,1,1,0
"5H3",0,1,1,1,1,1,1,1,1,1
"5H4",0,1,1,1,1,1,1,1,1,1
"5H5",1,1,1,1,1,1,1,1,0,1
"5H6",0,0,0,0,0,0,0,0,0,0
"5H7",0,0,0,0,0,0,0,0,0,0
"5H8",1,1,1,1,1,1,1,0,1,0
