"Directory","1","2","3","4","5","6","7","8","9"
"8A1",6,1,1,2,1,0,0,0,0
"8A2",5,1,0,0,0,1,1,0,0
"8A3",3,2,0,1,5,4,1,0,0
"8A4",5,2,0,1,0,0,0,1,0
"8A5",1,3,1,1,2,0,0,1,0
"8A6",1,3,2,2,0,1,3,2,0
"8A7",5,3,0,2,1,0,2,1,0
"8A8",1,4,3,2,2,3,2,0,1
"8B1",4,3,1,2,2,2,1,0,0
"8B2",0,0,0,0,0,0,0,0,0
"8B3",3,4,3,1,2,0,1,1,0
"8B4",5,1,2,2,2,0,0,0,0
"8B5",4,4,2,0,1,1,2,0,0
"8B6",5,2,3,3,2,1,3,0,0
"8B7",1,2,1,1,1,3,0,1,1
"8B8",3,0,1,2,4,1,3,2,0
"8C1",3,3,0,1,2,2,2,1,0
"8C2",5,4,2,4,2,1,1,0,0
"8C3",6,1,0,0,1,0,0,1,0
"8C4",3,2,0,1,0,0,0,1,0
"8C5",6,1,1,0,1,0,1,0,0
"8C6",3,2,0,0,2,3,3,0,0
"8C7",4,2,0,1,4,3,3,1,0
"8C8",4,3,1,2,2,2,2,2,0
"8D1",3,4,0,1,5,1,2,1,0
"8D2",3,3,3,1,2,1,1,0,0
"8D3",4,3,0,0,1,0,3,0,0
"8D4",6,1,1,0,1,1,0,1,0
"8D5",3,4,3,1,2,2,2,1,0
"8D6",2,5,2,1,2,2,2,1,0
"8D7",4,3,4,3,1,3,5,0,0
"8D8",3,1,2,3,1,3,2,0,0
"8E1",3,3,2,1,4,1,3,0,0
"8E2",3,4,3,2,3,1,0,4,0
"8E3",3,3,1,0,1,0,1,0,0
"8E4",6,2,1,0,3,0,0,2,0
"8E5",5,4,4,2,1,3,1,1,0
"8E6",3,2,1,2,1,3,3,2,0
"8E7",2,2,2,2,3,2,2,2,0
"8E8",3,1,0,1,4,2,3,3,0
"8F1",2,2,0,0,4,2,2,1,0
"8F2",4,1,2,0,2,4,3,3,0
"8F3",6,2,0,1,2,1,0,0,0
"8F4",6,3,4,2,2,2,3,1,0
"8F5",4,4,3,0,1,1,0,3,0
"8F6",3,2,1,0,1,2,2,2,1
"8F7",4,3,1,1,0,2,3,3,0
"8F8",3,0,3,0,0,0,0,0,1
"8G1",2,3,0,0,4,1,2,1,0
"8G2",0,0,0,0,0,0,0,0,0
"8G3",3,2,2,0,0,1,2,1,0
"8G4",3,2,1,1,0,1,1,1,0
"8G5",3,2,2,0,2,2,5,4,0
"8G6",4,2,3,1,1,1,3,3,0
"8G7",4,2,1,1,0,0,0,1,0
"8G8",4,1,0,0,1,1,2,1,0
"8H1",2,1,2,0,0,1,2,0,0
"8H2",4,3,1,0,2,0,2,0,0
"8H3",3,2,1,1,2,2,2,3,0
"8H4",2,4,1,0,1,0,0,0,0
"8H5",3,1,0,0,1,0,1,1,0
"8H6",3,0,0,0,0,0,0,0,0
"8H7",3,3,2,0,1,0,2,0,0
"8H8",3,2,1,0,2,2,2,3,0
