"Directory","1","2","3","4","5","6","7","8","9","10","11"
"1A1",0,1,3,1,1,0,0,0,0,0,0
"1A2",1,6,2,1,0,0,0,0,0,0,0
"1A3",8,3,2,0,0,0,0,0,0,0,0
"1A4",4,4,4,0,2,0,1,2,0,0,0
"1A5",2,7,3,1,1,0,1,0,1,0,0
"1A6",5,2,1,2,1,0,0,0,1,1,0
"1A7",4,5,1,0,1,0,1,0,0,1,1
"1A8",8,3,0,0,0,0,0,0,0,0,1
"1B1",5,2,1,0,0,0,0,0,0,0,0
"1B2",0,0,0,1,0,0,0,0,0,0,0
"1B3",2,0,3,1,1,0,0,0,0,0,0
"1B4",3,8,2,1,1,0,1,0,0,0,0
"1B5",0,3,2,0,0,0,0,0,0,0,0
"1B6",6,2,0,0,1,0,0,0,0,0,0
"1B7",8,2,2,1,0,0,0,0,1,0,0
"1B8",6,3,1,2,0,0,0,1,0,0,0
"1C1",1,2,4,1,0,0,0,0,0,0,0
"1C2",0,0,0,1,0,1,0,0,0,0,0
"1C3",0,3,2,2,0,3,1,1,0,0,0
"1C4",3,4,2,2,0,1,0,0,0,0,0
"1C5",2,3,1,1,3,0,0,0,0,2,0
"1C6",3,4,1,1,6,1,0,0,1,0,0
"1C7",2,3,4,1,2,0,0,0,0,1,0
"1C8",2,5,3,3,2,0,1,0,0,0,0
"1D1",0,0,1,1,0,0,0,0,0,0,0
"1D2",0,0,0,0,0,0,0,0,0,0,0
"1D3",0,5,4,4,3,0,1,0,0,0,0
"1D4",1,5,2,2,1,0,0,0,0,0,0
"1D5",0,1,2,0,0,0,0,0,0,0,0
"1D6",1,0,5,0,1,0,0,0,0,0,0
"1D7",0,5,2,1,0,0,0,0,0,0,0
"1D8",0,2,1,2,0,0,0,0,0,0,0
"1E1",0,0,0,0,1,0,0,0,0,0,0
"1E2",0,1,1,0,1,0,0,0,0,0,0
"1E3",0,4,0,2,1,0,0,1,0,0,0
"1E4",4,4,1,0,0,0,1,1,0,0,0
"1E5",0,1,5,0,0,1,0,1,1,0,0
"1E6",0,0,2,0,1,0,0,0,0,0,0
"1E7",0,0,5,1,1,0,0,0,0,0,0
"1E8",0,4,4,2,1,2,0,1,0,0,0
"1F1",0,0,1,1,0,0,0,0,0,0,0
"1F2",0,5,2,2,0,0,1,1,0,0,0
"1F3",4,4,0,2,2,0,0,0,0,0,0
"1F4",3,4,3,2,3,0,0,0,0,0,0
"1F5",0,4,5,1,1,3,0,0,1,0,0
"1F6",0,0,9,3,1,0,0,0,0,0,0
"1F7",0,0,4,2,0,0,0,0,0,0,0
"1F8",0,2,5,2,2,1,0,2,0,0,0
"1G1",5,1,1,1,0,0,1,0,1,0,0
"1G2",2,2,0,0,0,1,1,0,0,0,0
"1G3",0,1,0,0,1,0,0,0,0,0,0
"1G4",2,2,3,4,0,0,0,0,0,0,0
"1G5",0,6,6,1,0,0,0,0,0,0,0
"1G6",0,0,3,2,0,0,0,0,0,0,0
"1G7",0,0,5,5,1,0,0,0,0,0,0
"1G8",0,2,5,0,0,0,0,0,1,0,0
"1H1",0,4,0,0,1,1,0,0,0,0,0
"1H2",0,3,0,0,0,0,0,0,1,0,0
"1H3",1,1,0,1,0,0,0,0,0,0,0
"1H4",0,0,1,0,2,0,0,0,0,0,0
"1H5",0,1,0,0,0,0,0,0,0,0,0
"1H6",0,0,0,0,0,0,0,0,0,0,0
"1H7",0,7,2,1,0,0,0,0,0,0,0
"1H8",0,2,4,1,1,0,0,1,0,0,0
