"Directory","1","2","3","4","5","6","7","8","9"
"7A1",1,2,5,5,2,0,0,0,0
"7A2",1,2,4,4,3,1,0,0,0
"7A3",1,3,4,3,1,2,0,1,0
"7A4",2,4,5,4,3,0,0,0,0
"7A5",2,1,2,2,1,0,0,1,0
"7A6",1,3,3,2,4,1,1,1,0
"7A7",2,4,3,2,1,1,0,1,0
"7A8",1,3,4,1,2,0,0,0,2
"7B1",1,1,2,1,1,0,0,1,0
"7B2",2,2,2,1,3,1,1,1,1
"7B3",1,4,3,3,4,0,0,1,0
"7B4",2,1,0,0,0,0,0,0,0
"7B5",1,2,4,4,3,0,0,0,1
"7B6",2,1,2,4,3,1,0,0,1
"7B7",1,2,2,2,2,0,0,0,0
"7B8",2,1,3,4,3,0,0,0,1
"7C1",1,2,3,5,4,0,0,0,1
"7C2",4,2,2,2,4,0,0,0,0
"7C3",2,1,4,1,2,1,0,0,1
"7C4",2,4,2,3,0,0,1,0,0
"7C5",4,1,4,3,2,1,1,0,1
"7C6",3,4,3,1,1,0,0,0,1
"7C7",2,3,4,2,2,1,0,0,1
"7C8",3,2,4,2,5,2,0,1,0
"7D1",2,4,2,4,3,0,0,0,2
"7D2",2,4,4,4,3,0,0,0,0
"7D3",2,3,3,4,2,2,0,1,0
"7D4",2,3,2,2,2,0,0,0,1
"7D5",2,3,2,0,0,0,0,0,0
"7D6",2,4,2,4,0,0,0,0,1
"7D7",3,3,3,3,2,3,0,0,0
"7D8",2,2,3,2,2,0,0,0,0
"7E1",1,4,4,6,1,0,0,1,1
"7E2",2,3,4,2,0,0,0,0,0
"7E3",1,5,2,4,1,0,1,0,0
"7E4",3,3,3,2,0,0,0,0,0
"7E5",3,1,2,1,2,0,0,0,0
"7E6",1,3,1,4,3,1,0,2,0
"7E7",1,3,3,4,3,0,0,0,0
"7E8",1,2,6,4,3,1,0,0,1
"7F1",1,3,4,4,2,0,1,0,1
"7F2",1,4,5,3,0,0,1,0,0
"7F3",1,4,4,2,0,0,0,0,0
"7F4",1,4,2,4,3,0,0,0,0
"7F5",1,2,4,3,3,1,2,0,2
"7F6",2,3,3,3,2,0,0,1,0
"7F7",1,1,4,1,0,0,0,0,0
"7F8",2,2,3,3,3,1,0,0,0
"7G1",1,3,5,3,4,2,0,1,2
"7G2",1,2,1,0,0,0,0,0,0
"7G3",3,3,4,3,2,0,1,1,0
"7G4",1,1,4,4,2,0,0,0,0
"7G5",1,5,4,2,0,0,0,0,0
"7G6",1,5,3,2,2,0,0,0,0
"7G7",2,3,4,5,2,0,0,0,0
"7G8",1,5,2,2,1,0,0,1,0
"7H1",2,3,4,3,1,1,0,1,0
"7H2",1,3,6,3,0,0,0,0,0
"7H3",1,3,3,3,0,2,1,1,0
"7H4",1,3,3,3,1,1,0,0,0
"7H5",1,3,4,5,2,0,0,0,0
"7H6",1,3,3,2,3,0,0,0,0
"7H7",1,4,3,5,4,0,1,1,1
"7H8",1,2,5,3,4,1,0,0,1
