"Directory","1","2","3","4","5","6","7","8","9","10"
"5A1",90,6,0,5,1,3,0,1,2,0
"5A2",84,2,1,6,5,2,2,3,1,0
"5A3",89,5,2,4,2,10,3,0,2,0
"5A4",83,7,0,6,4,4,0,2,0,0
"5A5",6,0,0,0,0,0,0,0,0,0
"5A6",13,13,4,5,10,3,8,6,3,3
"5A7",65,12,1,2,4,5,3,2,0,0
"5A8",45,7,1,0,2,1,2,1,1,1
"5B1",21,2,1,4,1,2,0,0,1,0
"5B2",40,5,4,1,4,1,1,0,0,0
"5B3",103,4,2,5,11,5,6,5,1,0
"5B4",15,4,0,3,0,0,0,1,0,0
"5B5",23,1,0,1,3,3,2,6,2,4
"5B6",73,5,4,2,2,4,5,3,3,1
"5B7",20,36,0,0,1,1,1,1,3,0
"5B8",116,8,3,5,6,5,2,2,5,1
"5C1",21,6,3,1,0,2,1,3,0,1
"5C2",33,4,1,3,1,5,1,1,0,2
"5C3",16,4,1,1,0,1,2,1,2,1
"5C4",74,4,1,3,4,1,3,3,2,3
"5C5",21,13,3,2,2,1,4,0,2,0
"5C6",10,2,3,0,0,0,1,1,0,0
"5C7",12,8,4,1,2,1,4,1,3,2
"5C8",55,8,4,1,3,4,1,1,1,1
"5D1",34,9,18,7,3,0,3,2,0,1
"5D2",32,5,4,8,7,5,1,4,3,2
"5D3",36,7,8,8,4,1,3,4,3,1
"5D4",13,17,8,9,1,1,1,1,0,1
"5D5",7,23,7,3,0,0,3,1,1,0
"5D6",25,77,6,2,2,2,6,3,4,4
"5D7",13,13,7,2,5,3,4,1,2,1
"5D8",125,11,9,6,6,2,4,3,0,0
"5E1",78,8,4,2,3,0,2,0,0,0
"5E2",66,7,3,3,3,1,3,0,0,0
"5E3",18,27,10,6,3,7,5,2,0,0
"5E4",12,4,8,3,6,1,1,1,0,0
"5E5",22,76,15,9,6,3,2,0,0,1
"5E6",13,37,10,5,2,4,5,2,1,2
"5E7",0,26,3,4,4,1,4,0,1,0
"5E8",67,11,3,1,3,6,3,0,4,1
"5F1",13,61,4,3,1,1,2,0,0,0
"5F2",5,26,2,1,3,0,1,0,1,2
"5F3",23,3,2,4,5,3,2,1,1,0
"5F4",15,33,8,4,4,3,3,0,0,0
"5F5",23,26,13,10,15,7,1,2,0,1
"5F6",9,29,9,7,1,5,1,0,1,1
"5F7",0,91,4,10,4,3,0,0,1,0
"5F8",43,17,5,9,3,1,4,3,1,0
"5G1",7,3,1,0,3,2,0,1,0,0
"5G2",62,20,2,2,1,1,1,0,0,0
"5G3",11,13,1,3,2,2,0,0,0,0
"5G4",18,7,2,7,2,3,4,0,2,1
"5G5",12,16,7,9,10,8,1,1,1,0
"5G6",11,9,7,5,3,3,0,1,2,1
"5G7",14,39,6,6,2,6,5,2,4,3
"5G8",38,13,0,4,1,1,2,2,0,0
"5H1",0,93,6,4,0,1,2,9,4,1
"5H2",0,137,11,4,4,4,1,1,2,0
"5H3",0,35,3,5,3,2,2,1,1,1
"5H4",0,6,1,3,1,5,1,1,3,3
"5H5",17,27,7,6,11,2,3,3,0,2
"5H6",0,0,0,0,0,0,0,0,0,0
"5H7",0,0,0,0,0,0,0,0,0,0
"5H8",14,22,3,2,4,2,2,0,1,0
