"Directory","1","2","3","4","5","6","7","8"
"2D4",122,36,26,10,4,0,1,0
"2D5",1,29,37,12,10,0,2,1
"2D6",94,39,19,8,6,2,3,1
"2E4",36,22,8,9,16,4,3,1
"2E5",35,67,31,18,3,4,2,1
"2E6",23,65,30,5,2,2,0,0
"2F4",81,83,23,21,4,7,2,0
"2F5",71,71,40,16,7,3,0,0
"2F6",155,43,22,11,3,2,0,0
"2P3",1,6,3,3,0,0,0,0
"2P7",0,0,0,0,0,0,0,0
"2R1",0,0,0,0,0,0,0,0
"2R3",0,0,0,0,0,0,0,0
"2R5",2,13,18,9,1,1,1,0
"2R7",0,0,0,0,0,0,0,0
"2R9",78,12,14,6,4,3,1,0
"2T3",1,6,17,6,4,1,0,0
"2T7",0,2,1,1,0,0,0,0
"2V1",2,4,1,1,0,0,0,0
"2V3",7,9,8,4,0,0,1,0
"2V5",6,29,6,9,2,3,0,0
"2V7",9,18,12,5,1,0,0,0
"2V9",16,85,34,12,5,1,0,0
"2X3",0,0,0,2,0,2,0,0
"2X7",0,0,0,0,0,0,0,0
