"Directory","1","2","3","4","5","6","7","8"
"4D4",4,1,4,1,1,2,0,0
"4D5",2,1,1,1,1,1,1,4
"4D6",3,3,2,2,1,1,0,0
"4E4",1,5,3,3,2,2,4,1
"4E5",0,2,2,5,4,3,4,2
"4E6",5,4,4,5,6,2,7,1
"4F4",4,3,1,2,5,2,2,1
"4F5",1,4,4,3,5,3,1,0
"4F6",4,3,2,3,6,2,2,3
"4P3",2,2,3,4,2,1,2,2
"4P7",0,0,3,3,3,1,2,2
"4R1",2,2,0,5,4,3,3,2
"4R3",3,1,0,4,4,3,2,2
"4R5",1,2,3,6,3,4,3,2
"4R7",0,2,2,1,3,3,5,2
"4R9",2,3,3,4,4,1,1,1
"4T3",3,5,3,4,3,1,0,0
"4T7",2,0,0,4,5,2,0,2
"4V1",0,1,3,3,3,2,0,0
"4V3",1,1,3,4,2,3,1,1
"4V5",0,1,0,2,4,2,1,1
"4V7",0,0,0,0,0,0,0,0
"4V9",4,2,3,4,4,3,5,3
"4X3",3,4,4,3,3,2,3,0
"4X7",1,1,2,3,3,2,1,1
