"Directory","1","2","3","4","5","6","7","8"
"8D4",10,9,12,3,4,4,9,5
"8D5",17,16,10,2,8,10,7,5
"8D6",8,11,11,5,7,7,8,2
"8E4",6,14,9,2,8,6,5,2
"8E5",9,14,8,2,8,2,1,1
"8E6",8,9,8,0,4,7,4,3
"8F4",8,16,11,3,6,5,3,4
"8F5",14,4,6,2,4,3,3,3
"8F6",5,17,10,4,5,7,6,1
"8P3",11,7,10,1,7,5,2,2
"8P7",13,14,8,0,5,6,5,2
"8R1",13,5,11,2,5,11,5,9
"8R3",9,12,6,2,9,7,11,4
"8R5",9,10,9,2,10,10,4,0
"8R7",15,9,8,1,2,3,0,1
"8R9",7,6,3,0,7,7,11,1
"8T3",0,0,0,0,0,0,0,0
"8T7",5,13,10,3,3,5,2,1
"8V1",9,7,4,0,4,7,5,1
"8V3",12,13,5,2,5,4,3,0
"8V5",12,8,2,0,1,0,2,0
"8V7",6,8,7,2,8,5,5,2
"8V9",11,4,5,0,0,0,0,0
"8X3",12,6,2,0,2,1,3,4
"8X7",8,13,7,1,6,10,9,1
