"Directory","1","2","3","4","5","6","7","8","9"
"5D4",3,11,9,4,1,2,0,1,0
"5D5",7,15,10,3,5,2,1,1,1
"5D6",10,11,10,9,8,3,4,3,1
"5E4",8,7,12,6,7,5,4,3,1
"5E5",4,5,2,3,0,3,4,1,0
"5E6",11,13,13,9,5,4,6,3,1
"5F4",7,11,8,10,5,1,2,2,0
"5F5",4,9,12,8,4,3,0,2,3
"5F6",6,8,5,4,3,4,3,1,1
"5P3",7,9,2,3,3,4,4,1,2
"5P7",17,14,5,8,8,3,4,4,2
"5R1",0,0,0,0,0,0,0,0,0
"5R3",2,11,10,4,4,6,2,3,1
"5R5",5,7,0,0,0,0,0,0,0
"5R7",2,13,8,5,3,3,1,3,2
"5R9",7,9,10,5,3,3,2,1,3
"5T3",10,6,13,4,6,8,2,3,0
"5T7",9,14,7,11,7,4,2,1,3
"5V1",0,0,0,0,0,0,0,0,0
"5V3",10,10,8,5,6,4,4,2,2
"5V5",7,15,13,6,3,3,2,2,2
"5V7",13,12,11,8,5,3,3,2,2
"5V9",12,14,6,7,6,2,0,1,0
"5X3",10,8,10,5,6,2,2,5,3
"5X7",13,7,4,3,2,3,1,0,2
