"Directory","1","2","3","4","5","6","7","8"
"7D4",4,66,32,22,4,4,3,1
"7D5",0,12,8,6,9,4,2,2
"7D6",11,13,18,20,5,0,0,0
"7E4",12,2,10,14,0,0,0,0
"7E5",12,8,38,40,8,0,0,0
"7E6",47,127,89,47,3,7,2,7
"7F4",17,25,45,26,7,5,0,1
"7F5",0,0,0,0,0,0,0,0
"7F6",5,8,16,7,1,0,1,1
"7P3",7,11,14,8,1,0,1,0
"7P7",2,3,1,0,0,0,0,0
"7R1",0,15,4,15,23,4,0,1
"7R3",8,31,21,16,5,3,1,0
"7R5",14,0,49,19,4,4,0,0
"7R7",1,6,24,15,1,3,0,0
"7R9",35,28,24,10,9,7,2,0
"7T3",36,28,25,16,9,8,4,0
"7T7",3,26,27,33,9,3,0,0
"7V1",36,18,37,22,10,1,1,1
"7V3",11,9,10,10,7,1,0,0
"7V5",31,16,23,22,4,0,0,1
"7V7",21,18,33,32,4,3,1,1
"7V9",22,58,23,8,8,3,3,1
"7X3",7,25,22,10,7,2,2,2
"7X7",63,18,29,24,0,2,0,1
