"Directory","1","2","3","4","5","6","7","8"
"6D4",1,1,0,0,0,0,0,1
"6D5",1,1,1,1,1,1,1,1
"6D6",1,1,1,1,1,1,1,1
"6E4",1,1,1,1,1,1,1,1
"6E5",1,1,1,0,1,1,1,1
"6E6",1,1,0,1,0,1,1,1
"6F4",1,1,0,1,0,0,0,0
"6F5",1,1,1,1,1,1,1,1
"6F6",1,1,1,1,1,1,0,1
"6P3",1,1,1,1,1,1,1,1
"6P7",1,1,1,1,1,1,1,0
"6R1",1,1,1,1,0,1,1,0
"6R3",0,1,1,0,0,1,1,1
"6R5",1,1,0,1,1,1,1,1
"6R7",1,1,1,1,1,1,1,1
"6R9",0,1,1,0,1,1,0,0
"6T3",1,1,0,1,0,1,0,1
"6T7",1,1,1,0,1,1,1,1
"6V1",1,1,0,0,0,0,1,1
"6V3",0,0,0,0,0,0,1,0
"6V5",1,1,0,1,1,1,1,1
"6V7",1,1,0,0,0,1,1,0
"6V9",1,1,1,1,1,1,1,0
"6X3",1,1,1,1,1,1,1,1
"6X7",1,1,1,0,0,1,1,1
