"Directory","1","2","3","4","5","6","7","8"
"6D4",4,1,0,0,0,0,0,1
"6D5",4,3,3,3,2,1,3,3
"6D6",2,2,2,4,2,3,1,4
"6E4",4,4,4,2,2,1,2,1
"6E5",4,3,1,0,3,1,4,4
"6E6",5,3,0,1,0,1,1,3
"6F4",3,3,0,1,0,0,0,0
"6F5",4,2,2,1,2,1,4,4
"6F6",5,2,2,1,1,4,0,2
"6P3",5,2,4,5,3,3,2,1
"6P7",2,3,1,4,1,3,2,0
"6R1",3,3,3,1,0,1,2,0
"6R3",0,2,2,0,0,2,1,1
"6R5",3,2,0,3,1,1,1,3
"6R7",4,1,2,2,3,2,2,1
"6R9",0,2,2,0,1,1,0,0
"6T3",1,1,0,1,0,1,0,3
"6T7",4,2,1,0,1,1,3,1
"6V1",4,2,0,0,0,0,4,2
"6V3",0,0,0,0,0,0,1,0
"6V5",1,2,0,3,2,4,4,3
"6V7",2,3,0,0,0,4,1,0
"6V9",3,1,3,1,1,2,2,0
"6X3",2,1,1,2,3,2,1,2
"6X7",2,2,1,0,0,1,2,3
