"Directory","1","2","3","4","5","6","7","8"
"3A1",0,0,0,0,0,0,0,0
"3A2",0,0,0,0,0,0,0,0
"3A3",0,1,0,0,1,0,0,0
"3A4",0,0,0,0,0,0,0,0
"3A5",0,1,0,0,0,0,0,0
"3A6",0,0,1,1,0,0,0,0
"3A7",0,0,0,0,0,0,0,0
"3A8",0,0,0,0,0,1,0,0
"3B1",2,0,0,0,0,0,0,0
"3B2",2,3,3,1,1,1,0,0
"3B3",5,3,0,2,1,0,0,0
"3B4",5,0,0,1,0,0,0,0
"3B5",1,3,3,0,2,0,0,1
"3B6",0,0,0,1,0,0,0,0
"3B7",2,1,0,0,0,0,0,0
"3B8",1,0,0,0,1,0,0,0
"3C1",2,0,0,0,0,0,0,1
"3C2",2,3,2,0,1,0,0,0
"3C3",1,1,1,1,2,0,0,0
"3C4",2,1,0,0,0,0,1,0
"3C5",3,0,3,0,0,0,0,0
"3C6",1,0,0,0,0,0,0,0
"3C7",3,3,2,0,0,3,1,0
"3C8",1,3,0,0,0,0,0,1
"3D1",2,4,2,1,2,0,0,0
"3D2",0,1,1,2,0,1,0,0
"3D3",0,0,1,0,0,1,0,1
"3D4",1,3,5,3,1,0,1,1
"3D5",0,0,0,0,0,0,0,0
"3D6",0,2,3,1,0,0,0,1
"3D7",1,0,1,1,1,0,0,0
"3D8",3,4,1,3,0,0,1,2
"3E1",3,3,0,0,0,0,0,0
"3E2",3,1,0,1,0,0,0,0
"3E3",0,0,0,0,0,0,0,0
"3E4",0,3,1,1,0,0,0,0
"3E5",0,1,1,1,1,0,0,0
"3E6",0,1,1,1,0,0,0,1
"3E7",0,3,3,0,0,0,0,0
"3E8",5,5,2,1,1,1,0,2
"3F1",2,3,2,0,0,0,0,0
"3F2",2,3,1,2,1,1,1,0
"3F3",0,0,1,1,0,0,0,0
"3F4",0,0,0,0,0,1,0,0
"3F5",0,3,4,1,1,0,1,1
"3F6",0,5,3,1,0,3,0,2
"3F7",3,2,3,0,0,0,0,1
"3F8",2,1,0,1,1,0,0,0
"3G1",3,2,1,1,0,1,1,0
"3G2",0,1,2,1,1,0,0,0
"3G3",0,2,0,0,2,0,0,1
"3G4",0,0,0,1,0,0,0,0
"3G5",0,2,0,0,0,0,0,0
"3G6",0,3,1,2,0,0,0,1
"3G7",1,2,1,2,1,0,0,0
"3G8",0,0,0,2,0,0,0,0
"3H1",3,1,2,1,0,0,0,0
"3H2",0,1,1,0,0,1,1,1
"3H3",0,1,1,2,1,0,0,1
"3H4",1,2,0,0,0,0,0,0
"3H5",0,0,0,0,1,2,0,0
"3H6",2,1,0,1,0,1,1,0
"3H7",2,6,3,1,2,0,0,1
"3H8",2,1,0,1,1,0,0,0
